Journal,Title,Abstract,URL
"cmi","Roles of macrophages in tumor development: a spatiotemporal perspective","Macrophages are critical regulators of tissue homeostasis but are also abundant in the tumor microenvironment (TME). In both primary tumors and metastases, such tumor-associated macrophages (TAMs) seem to support tumor development. While we know that TAMs are the dominant immune cells in the TME, their vast heterogeneity and associated functions are only just being unraveled. In this review, we outline the various known TAM populations found thus far and delineate their specialized roles associated with the main stages of cancer progression. We discuss how macrophages may prime the premetastatic niche to enable the growth of a metastasis and then how subsequent metastasis-associated macrophages can support secondary tumor growth. Finally, we speculate on the challenges that remain to be overcome in TAM research.","https://www.nature.com/articles/s41423-023-01061-6"
"cmi","Type 2 immunity in the brain and brain borders","Recent research in neuroimmunology has revolutionized our understanding of the intricate interactions between the immune system and the central nervous system (CNS). The CNS, an “immune-privileged organ”, is now known to be intimately connected to the immune system through different cell types and cytokines. While type 2 immune responses have traditionally been associated with allergy and parasitic infections, emerging evidence suggests that these responses also play a crucial role in CNS homeostasis and disease pathogenesis. Type 2 immunity encompasses a delicate interplay among stroma, Th2 cells, innate lymphoid type 2 cells (ILC2s), mast cells, basophils, and the cytokines interleukin (IL)-4, IL-5, IL-13, IL-25, TSLP and IL-33. In this review, we discuss the beneficial and detrimental roles of type 2 immune cells and cytokines in CNS injury and homeostasis, cognition, and diseases such as tumors, Alzheimer's disease and multiple sclerosis.","https://www.nature.com/articles/s41423-023-01043-8"
"cmi","Germinal center-dependent and -independent immune responses of tumor-infiltrating B cells in human cancers","B cells play essential roles in immunity, mainly through the production of high affinity plasma cells (PCs) and memory B (Bmem) cells. The affinity maturation and differentiation of B cells rely on the integration of B-cell receptor (BCR) intrinsic and extrinsic signals provided by antigen binding and the microenvironment, respectively. In recent years, tumor infiltrating B (TIL-B) cells and PCs (TIL-PCs) have been revealed as important players in antitumor responses in human cancers, but their interplay and dynamics remain largely unknown. In lymphoid organs, B-cell responses involve both germinal center (GC)-dependent and GC-independent pathways for Bmem cell and PC production. Affinity maturation of BCR repertoires occurs in GC reactions with specific spatiotemporal dynamics of signal integration by B cells. In general, the reactivation of high-affinity Bmem cells by antigens triggers GC-independent production of large numbers of PC without BCR rediversification. Understanding B-cell dynamics in immune responses requires the integration of multiple tools and readouts such as single-cell phenotyping and RNA-seq, in situ analyses, BCR repertoire analysis, BCR specificity and affinity assays, and functional tests. Here, we review how those tools have recently been applied to study TIL-B cells and TIL-PC in different types of solid tumors. We assessed the published evidence for different models of TIL-B-cell dynamics involving GC-dependent or GC-independent local responses and the resulting production of antigen-specific PCs. Altogether, we highlight the need for more integrative B-cell immunology studies to rationally investigate TIL-B cells as a leverage for antitumor therapies.","https://www.nature.com/articles/s41423-023-01060-7"
"cmi","Immunoception: the insular cortex perspective","To define the systemic neuroimmune interactions in health and disease, we recently suggested immunoception as a term that refers to the existence of bidirectional functional loops between the brain and the immune system. This concept suggests that the brain constantly monitors changes in immune activity and, in turn, can regulate the immune system to generate a physiologically synchronized response. Therefore, the brain has to represent information regarding the state of the immune system, which can occure in multiple ways. One such representation is an immunengram, a trace that is partially stored by neurons and partially by the local tissue. This review will discuss our current understanding of immunoception and immunengrams, focusing on their manifestation in a specific brain region, the insular cortex (IC).","https://www.nature.com/articles/s41423-023-01051-8"
"cmi","Neutrophil diversity and plasticity: Implications for organ transplantation","Neutrophils, as the first defenders against external microbes and stimuli, are highly active and finely regulated innate immune cells. Emerging evidence has challenged the conventional dogma that neutrophils are a homogeneous population with a short lifespan that promotes tissue damage. Recent findings on neutrophil diversity and plasticity in homeostatic and disease states have centered on neutrophils in the circulation. In contrast, a comprehensive understanding of tissue-specialized neutrophils in health and disease is still lacking. This article will first discuss how multiomics advances have contributed to our understanding of neutrophil heterogeneity and diversification in resting and pathological settings. This discussion will be followed by a focus on the heterogeneity and role of neutrophils in solid organ transplantation and how neutrophils may contribute to transplant-related complications. The goal of this article is to provide an overview of the research on the involvement of neutrophils in transplantation, with the aim that this may draw attention to an underappreciated area of neutrophil research.","https://www.nature.com/articles/s41423-023-01058-1"
"cmi","4-1BB-4-1BBL cis-interaction contributes to the survival of self-reactive CD8+ T cell","4-1BB is an inducible receptor expressed on activated T cells, while its ligand, 4-1BBL, is mainly expressed in antigen-presenting cells and macrophages [1, 2]. To the best of our knowledge, ligand-mediated transactivation of 4-1BB is responsible for the survival and immune effector functions of T cells. However, there have been reports of 4-1BBL also being expressed in T cells [3, 4]. As 4-1BB has only one known ligand, 4-1BBL, this coexpression of 4-1BB and 4-1BBL on T cells raises questions about cis-interactions among the proteins and their potential role in T-cell activation and immune function. Therefore, to investigate whether 4-1BB and 4-1BBL signals are necessary to suppress tumor growth, we designed an experiment as shown in Fig. 1a. In vivo administration of the 3H3 clone strongly triggers 4-1BB signals along with no or minor 4-1BBL signals, TKS-1 induces a mild agonistic effect on 4-1BBL with blockade of 4-1BB signals, 17B5 blocks both 4-1BB and 4-1BBL signals, and coadministration of 3H3 and TKS-1 enhances both 4-1BB and 4-1BBL signals [5,6,7]. C57BL/6 mice received mAbs intraperitoneally every 5 days starting from 9 days after MC38 tumor injection (Fig. 1a). Compared to rat IgG treatment, 17B5 treatment did not affect the tumor growth rate, but it did increase mortality (Fig. 1b). While TKS-1 treatment alone was ineffective, the combination treatment of 3H3 and TKS-1 effectively suppressed tumor growth (Fig. 1b). The percentage and absolute number of tumor-specific pGP70+CD8+ T cells were significantly higher in the inguinal tumor-draining lymph nodes (iTDLNs) of mice treated with 3H3 alone or with TSK-1 in combination with 3H3 than in those treated with rat IgG, TKS-1, or 17B5 alone (Fig. 1c, d). The results suggest that the combination of 3H3 and TKS-1 enhances tumor-specific CD8+ T-cell responses in MC38 tumor-bearing mice.Fig. 1Anti-4-1BBL enhances 4-1BB-stimulated antitumor responses: (a) C57BL/6 mice were s.c. injected with MC38 tumor cells and i.p. administered 100 [mu]g of mAbs on the indicated days. b Tumor growth rate. c iTDLN cells were counted and stained with pGP70-PE and anti-CD8[beta]-PE-Cy5. d The absolute numbers of total and pGP70+CD8+ T cells in the inguinal TDLN were calculated. 4-1BBL promotes LN migration and tumor infiltration of activated pmel-1 CD8+ T cells: (e) Schematic diagram of the experiment. f Single-cell suspensions of inguinal LNs at Day 7 were counted and stained as described above. Gated CD8+ cells were plotted CFSE vs. Thy1.1. g Absolute numbers of inguinal LN cells and percentages and absolute numbers of pmel-1 Thy1.1+CD8+ T cells in inguinal LNs (n = 4 mice per experiment from three independent experiments). h Single-cell suspensions of tumor tissues at Day 12 were counted and stained with anti-CD8-PE, anti-Thy1.1-PE-Cy5, and anti-CD45-APC antibodies, and the percentages of CD45+ TILs and Thy1.1+ and Thy1.1− cells in CD45+ TILs and tumor tissues were calculated (i). Peripheral 4-1BBL is required to induce migration of activated pmel-1 CD8+ T cells: (j) WT, 4-1BB−/−, and 4-1BBL−/− C57BL/6 mice were i.v. injected with CFSE-labeled pme-1 Thy1.1+CD8+ T cells, s.c. immunized with 20 [mu]g mgp100 peptide in IFA and i.p. administered 100 [mu]g of rat IgG, 3H3, and 3H3 plus TKS-1 on Days 0 and 2. On Day 7, iTDLN cells were counted and stained with anti-CD8-PE and anti-Thy1.1-PE-Cy5 antibodies. Gated CD8+ cells were plotted CFSE vs. Thy1.1. k Absolute numbers of iTDLN cells. Percentages and absolute numbers of pmel-1 Thy1.1+CD8+ T cells in iTDLNs. (n = 6 mice per experiment from two independent experiments). Cellular division and migration of WT, 4-1BB−/−, and 4-1BBL−/− pmel-1 CD8+ T cells: (l) C57BL/6 mice were i.v. injected with CFSE-labeled WT, 4-1BB−/−, and 4-1BBL−/− pme-1 Thy1.1+CD8+ T cells and further immunized and administered with Abs as described. m Single-cell suspensions of iTDLNs at Day 7 were counted and stained with anti-CD8-PE and anti-Thy1.1-PE-Cy5 antibodies. Gated CD8+ cells were plotted CFSE vs. Thy1.1. n Absolute numbers of iTDLN cells and percentages and absolute numbers of pmel-1 Thy1.1+CD8+ T cells in the TDLN were calculated. (n = 4 mice per experiment from three independent experiments). Data are presented as the mean +/- SD. p values were calculated using Student's t test (*p < 0.05; **p < 0.01; ***p < 0.005)Full size image","https://www.nature.com/articles/s41423-023-01056-3"
"cmi","Brain macrophage development, diversity and dysregulation in health and disease","Brain macrophages include microglia in the parenchyma, border-associated macrophages in the meningeal-choroid plexus-perivascular space, and monocyte-derived macrophages that infiltrate the brain under various disease conditions. The vast heterogeneity of these cells has been elucidated over the last decade using revolutionary multiomics technologies. As such, we can now start to define these various macrophage populations according to their ontogeny and their diverse functional programs during brain development, homeostasis and disease pathogenesis. In this review, we first outline the critical roles played by brain macrophages during development and healthy aging. We then discuss how brain macrophages might undergo reprogramming and contribute to neurodegenerative disorders, autoimmune diseases, and glioma. Finally, we speculate about the most recent and ongoing discoveries that are prompting translational attempts to leverage brain macrophages as prognostic markers or therapeutic targets for diseases that affect the brain.","https://www.nature.com/articles/s41423-023-01053-6"
"cmi","Mannosylated glycans impair normal T-cell development by reprogramming commitment and repertoire diversity","T-cell development ensures the formation of diverse repertoires of T-cell receptors (TCRs) that recognize a variety of antigens. Glycosylation is a major posttranslational modification present in virtually all cells, including T-lymphocytes, that regulates activity/functions. Although these structures are known to be involved in TCR-selection in DP thymocytes, it is unclear how glycans regulate other thymic development processes and how they influence susceptibility to disease. Here, we discovered stage-specific glycome compositions during T-cell development in human and murine thymocytes, as well as dynamic alterations. After restricting the N-glycosylation profile of thymocytes to high-mannose structures, using specific glycoengineered mice (Rag1CreMgat1fl/fl), we showed remarkable defects in key developmental checkpoints, including ß-selection, regulatory T-cell generation and [gamma][delta]T-cell development, associated with increased susceptibility to colon and kidney inflammation and infection. We further demonstrated that a single N-glycan antenna (modeled in Rag1CreMgat2fl/fl mice) is the sine-qua-non condition to ensure normal development. In conclusion, we revealed that mannosylated thymocytes lead to a dysregulation in T-cell development that is associated with inflammation susceptibility.","https://www.nature.com/articles/s41423-023-01052-7"
"cmi","The role of cellular and molecular neuroimmune crosstalk in gut immunity","The gastrointestinal tract is densely innervated by the peripheral nervous system and populated by the immune system. These two systems critically coordinate the sensations of and adaptations to dietary, microbial, and damaging stimuli from the external and internal microenvironment during tissue homeostasis and inflammation. The brain receives and integrates ascending sensory signals from the gut and transduces descending signals back to the gut via autonomic neurons. Neurons regulate intestinal immune responses through the action of local axon reflexes or through neuronal circuits via the gut-brain axis. This neuroimmune crosstalk is critical for gut homeostatic maintenance and disease resolution. In this review, we discuss the roles of distinct types of gut-innervating neurons in the modulation of intestinal mucosal immunity. We will focus on the molecular mechanisms governing how different immune cells respond to neural signals in host defense and inflammation. We also discuss the therapeutic potential of strategies targeting neuroimmune crosstalk for intestinal diseases.","https://www.nature.com/articles/s41423-023-01054-5"
"cmi","Optimized collaboration of the first and third signals endows robust activity to T cells within the immunocompetent tumor microenvironment","CAR T-cell therapy has shown remarkable potential in the treatment of hematologic malignancies, and these successes have greatly motivated research on treatment of solid tumors. Although numerous clinical trials have been actively carried out, exciting clinical responses are still sporadic and may be are transient for patients with solid tumors [1]. Such poor antitumor potency in solid tumors has been attributed to several aspects, including the heterogeneity of tumor-associated antigens (TAAs), poor trafficking of CAR T cells to the tumor site and inevitable off-tumor toxicities, as well as the immunosuppressive tumor microenvironment (TME).","https://www.nature.com/articles/s41423-023-01050-9"
