Journal,Title,Abstract,URL
"cr","The complete and fully-phased diploid genome of a male Han Chinese","Since the release of the complete human genome, the priority of human genomic study has now been shifting towards closing gaps in ethnic diversity. Here, we present a fully phased and well-annotated diploid human genome from a Han Chinese male individual (CN1), in which the assemblies of both haploids achieve the telomere-to-telomere (T2T) level. Comparison of this diploid genome with the CHM13 haploid T2T genome revealed significant variations in the centromere. Outside the centromere, we discovered 11,413 structural variations, including numerous novel ones. We also detected thousands of CN1 alleles that have accumulated high substitution rates and a few that have been under positive selection in the East Asian population. Further, we found that CN1 outperforms CHM13 as a reference genome in mapping and variant calling for the East Asian population owing to the distinct structural variants of the two references. Comparison of SNP calling for a large cohort of 8869 Chinese genomes using CN1 and CHM13 as reference respectively showed that the reference bias profoundly impacts rare SNP calling, with nearly 2 million rare SNPs miss-called with different reference genomes. Finally, applying the CN1 as a reference, we discovered 5.80 Mb and 4.21 Mb putative introgression sequences from Neanderthal and Denisovan, respectively, including many East Asian specific ones undetected using CHM13 as the reference. Our analyses reveal the advances of using CN1 as a reference for population genomic studies and paleo-genomic studies. This complete genome will serve as an alternative reference for future genomic studies on the East Asian population.","https://www.nature.com/articles/s41422-023-00849-5"
"cr","α-myosin heavy chain lactylation maintains sarcomeric structure and function and alleviates the development of heart failure","The sarcomeric interaction of α-myosin heavy chain (α-MHC) with Titin is vital for cardiac structure and contraction. However, the mechanism regulating this interaction in normal and failing hearts remains unknown. Lactate is a crucial energy substrate of the heart. Here, we identify that α-MHC undergoes lactylation on lysine 1897 to regulate the interaction of α-MHC with Titin. We observed a reduction of α-MHC K1897 lactylation in mice and patients with heart failure. Loss of K1897 lactylation in α-MHC K1897R knock-in mice reduces α-MHC–Titin interaction and leads to impaired cardiac structure and function. Furthermore, we identified that p300 and Sirtuin 1 act as the acyltransferase and delactylase of α-MHC, respectively. Decreasing lactate production by chemical or genetic manipulation reduces α-MHC lactylation, impairs α-MHC–Titin interaction and worsens heart failure. By contrast, upregulation of the lactate concentration by administering sodium lactate or inhibiting the pivotal lactate transporter in cardiomyocytes can promote α-MHC K1897 lactylation and α-MHC–Titin interaction, thereby alleviating heart failure. In conclusion, α-MHC lactylation is dynamically regulated and an important determinant of overall cardiac structure and function. Excessive lactate efflux and consumption by cardiomyocytes may decrease the intracellular lactate level, which is the main cause of reduced α-MHC K1897 lactylation during myocardial injury. Our study reveals that cardiac metabolism directly modulates the sarcomeric structure and function through lactate-dependent modification of α-MHC.","https://www.nature.com/articles/s41422-023-00844-w"
"cr","An invasive zone in human liver cancer identified by Stereo-seq promotes hepatocyte–tumor cell crosstalk, local immunosuppression and tumor progression","Dissecting and understanding the cancer ecosystem, especially that around the tumor margins, which have strong implications for tumor cell infiltration and invasion, are essential for exploring the mechanisms of tumor metastasis and developing effective new treatments. Using a novel tumor border scanning and digitization model enabled by nanoscale resolution-SpaTial Enhanced REsolution Omics-sequencing (Stereo-seq), we identified a 500 µm-wide zone centered around the tumor border in patients with liver cancer, referred to as “the invasive zone”. We detected strong immunosuppression, metabolic reprogramming, and severely damaged hepatocytes in this zone. We also identified a subpopulation of damaged hepatocytes with increased expression of serum amyloid A1 and A2 (referred to collectively as SAAs) located close to the border on the paratumor side. Overexpression of CXCL6 in adjacent malignant cells could induce activation of the JAK-STAT3 pathway in nearby hepatocytes, which subsequently caused SAAs’ overexpression in these hepatocytes. Furthermore, overexpression and secretion of SAAs by hepatocytes in the invasive zone could lead to the recruitment of macrophages and M2 polarization, further promoting local immunosuppression, potentially resulting in tumor progression. Clinical association analysis in additional five independent cohorts of patients with primary and secondary liver cancer (n = 423) showed that patients with overexpression of SAAs in the invasive zone had a worse prognosis. Further in vivo experiments using mouse liver tumor models in situ confirmed that the knockdown of genes encoding SAAs in hepatocytes decreased macrophage accumulation around the tumor border and delayed tumor growth. The identification and characterization of a novel invasive zone in human cancer patients not only add an important layer of understanding regarding the mechanisms of tumor invasion and metastasis, but may also pave the way for developing novel therapeutic strategies for advanced liver cancer and other solid tumors.","https://www.nature.com/articles/s41422-023-00831-1"
"cr","A direct spino-cortical circuit bypassing the thalamus modulates nociception","Nociceptive signals are usually transmitted to layer 4 neurons in somatosensory cortex via the spinothalamic-thalamocortical pathway. The layer 5 corticospinal neurons in sensorimotor cortex are reported to receive the output of neurons in superficial layers; and their descending axons innervate the spinal cord to regulate basic sensorimotor functions. Here, we show that a subset of layer 5 neurons receives spinal inputs through a direct spino-cortical circuit bypassing the thalamus, and thus define these neurons as spino-cortical recipient neurons (SCRNs). Morphological studies revealed that the branches from spinal ascending axons formed a kind of disciform structure with the descending axons from SCRNs in the basilar pontine nucleus (BPN). Electron microscopy and calcium imaging further confirmed that the axon terminals from spinal ascending neurons and SCRNs made functional synaptic contacts in the BPN, linking the ascending sensory pathway to the descending motor control pathway. Furthermore, behavioral tests indicated that the spino-cortical connection in the BPN was involved in nociceptive responses. In vivo calcium imaging showed that SCRNs responded to peripheral noxious stimuli faster than neighboring layer 4 cortical neurons in awake mice. Manipulating activities of SCRNs could modulate nociceptive behaviors. Therefore, this direct spino-cortical circuit represents a noncanonical pathway, allowing a fast sensory-motor transition of the brain in response to noxious stimuli.","https://www.nature.com/articles/s41422-023-00832-0"
"cr","Structural insights into mechanisms of Argonaute protein-associated NADase activation in bacterial immunity","Nicotinamide adenine dinucleotide (NAD+) is a central metabolite in cellular processes. Depletion of NAD+ has been demonstrated to be a prevalent theme in both prokaryotic and eukaryotic immune responses. Short prokaryotic Argonaute proteins (Agos) are associated with NADase domain-containing proteins (TIR-APAZ or SIR2-APAZ) encoded in the same operon. They confer immunity against mobile genetic elements, such as bacteriophages and plasmids, by inducing NAD+ depletion upon recognition of target nucleic acids. However, the molecular mechanisms underlying the activation of such prokaryotic NADase/Ago immune systems remain unknown. Here, we report multiple cryo-EM structures of NADase/Ago complexes from two distinct systems (TIR-APAZ/Ago and SIR2-APAZ/Ago). Target DNA binding triggers tetramerization of the TIR-APAZ/Ago complex by a cooperative self-assembly mechanism, while the heterodimeric SIR2-APAZ/Ago complex does not assemble into higher-order oligomers upon target DNA binding. However, the NADase activities of these two systems are unleashed via a similar closed-to-open transition of the catalytic pocket, albeit by different mechanisms. Furthermore, a functionally conserved sensor loop is employed to inspect the guide RNA–target DNA base pairing and facilitate the conformational rearrangement of Ago proteins required for the activation of these two systems. Overall, our study reveals the mechanistic diversity and similarity of Ago protein-associated NADase systems in prokaryotic immune response.","https://www.nature.com/articles/s41422-023-00839-7"
"cr","Structural insights into dimerization and activation of the mGlu2–mGlu3 and mGlu2–mGlu4 heterodimers","Heterodimerization of the metabotropic glutamate receptors (mGlus) has shown importance in the functional modulation of the receptors and offers potential drug targets for treating central nervous system diseases. However, due to a lack of molecular details of the mGlu heterodimers, understanding of the mechanisms underlying mGlu heterodimerization and activation is limited. Here we report twelve cryo-electron microscopy (cryo-EM) structures of the mGlu2–mGlu3 and mGlu2–mGlu4 heterodimers in different conformational states, including inactive, intermediate inactive, intermediate active and fully active conformations. These structures provide a full picture of conformational rearrangement of mGlu2–mGlu3 upon activation. The Venus flytrap domains undergo a sequential conformational change, while the transmembrane domains exhibit a substantial rearrangement from an inactive, symmetric dimer with diverse dimerization patterns to an active, asymmetric dimer in a conserved dimerization mode. Combined with functional data, these structures reveal that stability of the inactive conformations of the subunits and the subunit–G protein interaction pattern are determinants of asymmetric signal transduction of the heterodimers. Furthermore, a novel binding site for two mGlu4 positive allosteric modulators was observed in the asymmetric dimer interfaces of the mGlu2–mGlu4 heterodimer and mGlu4 homodimer, and may serve as a drug recognition site. These findings greatly extend our knowledge about signal transduction of the mGlus.","https://www.nature.com/articles/s41422-023-00830-2"
"cr","A novel N6-Deoxyadenine methyltransferase METL-9 modulates C. elegans immunity via dichotomous mechanisms","N6-Methyldeoxyadenine (6mA) has been rediscovered as a DNA modification with potential biological function in metazoans. However, the physiological function and regulatory mechanisms regarding the establishment, maintenance and removal of 6mA in eukaryotes are still poorly understood. Here we show that genomic 6mA levels change in response to pathogenic infection in Caenorhabditis elegans (C. elegans). We further identify METL-9 as the methyltransferase that catalyzes DNA 6mA modifications upon pathogen infection. Deficiency of METL-9 impairs the induction of innate immune response genes and renders the animals more susceptible to pathogen infection. Interestingly, METL-9 functions through both 6mA-dependent and -independent mechanisms to transcriptionally regulate innate immunity. Our findings reveal that 6mA is a functional DNA modification in immunomodulation in C. elegans.","https://www.nature.com/articles/s41422-023-00826-y"
"cr","Structure and transport mechanism of the human calcium pump SPCA1","Secretory-pathway Ca2+-ATPases (SPCAs) play critical roles in maintaining Ca2+ homeostasis, but the exact mechanism of SPCAs-mediated Ca2+ transport remains unclear. Here, we determined six cryo-electron microscopy (cryo-EM) structures of human SPCA1 (hSPCA1) in a series of intermediate states, revealing a near-complete conformational cycle. With the aid of molecular dynamics simulations, these structures offer a clear structural basis for Ca2+ entry and release in hSPCA1. We found that hSPCA1 undergoes unique conformational changes during ATP binding and phosphorylation compared to other well-studied P-type II ATPases. In addition, we observed a conformational distortion of the Ca2+-binding site induced by the separation of transmembrane helices 4L and 6, unveiling a distinct Ca2+ release mechanism. Particularly, we determined a structure of the long-sought CaE2P state of P-type IIA ATPases, providing valuable insights into the Ca2+ transport cycle. Together, these findings enhance our understanding of Ca2+ transport by hSPCA1 and broaden our knowledge of P-type ATPases.","https://www.nature.com/articles/s41422-023-00827-x"
"cr","Publisher Correction: SHEsis, a powerful software platform for analyses of linkage disequilibrium, haplotype construction, and genetic association at polymorphism loci","Correction to: Cell Research https://doi.org/10.1038/sj.cr.7290272, published online 01 February 2005","https://www.nature.com/articles/s41422-023-00805-3"
"cr","The phosphatidylinositol (4,5)-bisphosphate-Rab35 axis regulates migrasome formation","Migrasomes are recently discovered organelles, which are formed on the ends or branch points of retraction fibers at the trailing edge of migrating cells. Previously, we showed that recruitment of integrins to the site of migrasome formation is essential for migrasome biogenesis. In this study, we found that prior to migrasome formation, PIP5K1A, a PI4P kinase which converts PI4P into PI(4,5)P2, is recruited to migrasome formation sites. The recruitment of PIP5K1A results in generation of PI(4,5)P2 at the migrasome formation site. Once accumulated, PI(4,5)P2 recruits Rab35 to the migrasome formation site by interacting with the C-terminal polybasic cluster of Rab35. We further demonstrated that active Rab35 promotes migrasome formation by recruiting and concentrating integrin α5 at migrasome formation sites, which is likely mediated by the interaction between integrin α5 and Rab35. Our study identifies the upstream signaling events orchestrating migrasome biogenesis.","https://www.nature.com/articles/s41422-023-00811-5"
