Journal,Title,Abstract,URL
"gt","Immunobiology of a rationally-designed AAV2 capsid following intravitreal delivery in mice","Adeno-associated virus serotype 2 (AAV2) is a viral vector that can be used to deliver therapeutic genes to diseased cells in the retina. One strategy for altering AAV2 vectors involves the mutation of phosphodegron residues, which are thought to be phosphorylated/ubiquitinated in the cytosol, facilitating degradation of the vector and the inhibition of transduction. As such, mutation of phosphodegron residues have been correlated with increased transduction of target cells, however, an assessment of the immunobiology of wild-type and phosphodegron mutant AAV2 vectors following intravitreal (IVT) delivery to immunocompetent animals is lacking in the current literature. In this study, we show that IVT of a triple phosphodegron mutant AAV2 capsid is associated with higher levels of humoral immune activation, infiltration of CD4 and CD8 T-cells into the retina, generation of splenic germinal centre reactions, activation of conventional dendritic cell subsets, and elevated retinal gliosis compared to wild-type AAV2 capsids. However, we did not detect significant changes in electroretinography arising after vector administration. We also demonstrate that the triple AAV2 mutant capsid is less susceptible to neutralisation by soluble heparan sulphate and anti-AAV2 neutralising antibodies, highlighting a possible utility for the vector in terms of circumventing pre-existing humoral immunity. In summary, the present study highlights novel aspects of rationally-designed vector immunobiology, which may be relevant to their application in preclinical and clinical settings.","https://www.nature.com/articles/s41434-023-00409-x"
"gt","RapaCaspase-9-based suicide gene applied to the safety of IL-1RAP CAR-T cells","Even if adoptive cell transfer (ACT) has already shown great clinical efficiency in different types of disease, such as cancer, some adverse events consistently occur, and suicide genes are an interesting system to manage these events. Our team developed a new medical drug candidate, a chimeric antigen receptor (CAR) targeting interleukin-1 receptor accessory protein (IL-1RAP), which needs to be evaluated in clinical trials with a clinically applicable suicide gene system. To prevent side effects and ensure the safety of our candidate, we devised two constructs carrying an inducible suicide gene, RapaCasp9-G or RapaCasp9-A, containing a single-nucleotide polymorphism (rs1052576) affecting the efficiency of endogenous caspase 9. These suicide genes are activated by rapamycin and based on the fusion of human caspase 9 with a modified human FK-binding protein, allowing conditional dimerization. RapaCasp9-G- and RapaCasp9-A-expressing gene-modified T cells (GMTCs) were produced from healthy donors (HDs) and acute myeloid leukemia (AML) donors. The RapaCasp9-G suicide gene demonstrated better efficiency, and we showed its in vitro functionality in different clinically relevant culture conditions. Moreover, as rapamycin is not pharmacologically inert, we also demonstrated its safe use as part of our therapy.","https://www.nature.com/articles/s41434-023-00404-2"
"gt","Repeat or single-dose lentiviral vector administration to mouse lungs? It's all about the timing","Lentiviral vectors are attractive delivery vehicles for cystic fibrosis gene therapy owing to their low immunogenicity and ability to integrate into the host cell genome, thereby producing long-term, stable gene expression. Nonetheless, repeat dosing may be required to increase initial expression levels, and/or boost levels when they wane. The primary aim of this study was to determine if repeat dosing of a VSV-G pseudotyped LV vector delivered into mouse lungs is more effective than a single dose. C57Bl/6 mouse lungs were conditioned with lysophosphatidylcholine, followed one-hour later by a LV vector carrying the luciferase reporter gene, using six different short-term (≤1 wk) and long-term (>1 wk) dosing schedules. Luciferase expression was quantified using bioluminescence imaging over 12 months. Most dosing schedules produced detectable bioluminescence over the 12-month period, but the shorter intervals (≤1 wk) produced higher levels of flux than the longest interval (five doses at least 1-month apart). Ex vivo lung analysis at 12 months showed that the estimated mean flux for the group that received two doses 1-week apart was significantly greater than the single dose group and the two groups that received doses over a period greater than 1-week. These results suggest that early consecutive multiple doses are more effective at improving gene expression in mouse lungs at 12 months, than longer repeat dosing intervals.","https://www.nature.com/articles/s41434-023-00403-3"
"gt","Review of cardiac safety in onasemnogene abeparvovec gene replacement therapy: translation from preclinical to clinical findings","Human gene replacement therapies such as onasemnogene abeparvovec (OA) use recombinant adeno-associated virus (rAAV) vectors to treat monogenic disorders. The heart and liver are known target organs of toxicity in animals; with cardiac and hepatic monitoring recommended in humans after OA dosing. This manuscript provides a comprehensive description of cardiac data from preclinical studies and clinical sources including clinical trials, managed access programs and the post-marketing setting following intravenous OA administration through 23 May 2022. Single dose mouse GLP-Toxicology studies revealed dose-dependent cardiac findings including thrombi, myocardial inflammation and degeneration/regeneration, which were associated with early mortality (4-7 weeks) in the high dose groups. No such findings were documented in non-human primates (NHP) after 6 weeks or 6 months post-dose. No electrocardiogram or echocardiogram abnormalities were noted in NHP or humans. After OA dosing, some patients developed isolated elevations in troponin without associated signs/symptoms; the reported cardiac adverse events in patients were considered of secondary etiology (e.g. respiratory dysfunction or sepsis leading to cardiac events). Clinical data indicate cardiac toxicity observed in mice does not translate to humans. Cardiac abnormalities have been associated with SMA. Healthcare professionals should use medical judgment when evaluating the etiology and assessment of cardiac events post OA dosing so as to consider all possibilities and manage the patient accordingly.","https://www.nature.com/articles/s41434-023-00401-5"
"gt","rAAV-PHP.B escapes the mouse eye and causes lethality whereas rAAV9 can transduce aniridic corneal limbal stem cells without lethality","Recently safety concerns have been raised in connection with high doses of recombinant adeno-associated viruses (rAAV). Therefore, we undertook a series of experiments to test viral capsid (rAAV9 and rAAV-PHP.B), dose, and route of administration (intrastromal, intravitreal, and intravenous) focused on aniridia, a congenital blindness that currently has no cure. The success of gene therapy for aniridia may depend on the presence of functional limbal stem cells (LSCs) in the damaged aniridic corneas and whether rAAV can transduce them. Both these concerns were unknown, and thus were also addressed by our studies. For the first time, we report ataxia and lethality after intravitreal or intrastromal rAAV-PHP.B virus injections. We demonstrated virus escape from the eye and transduction of non-ocular tissues by rAAV9 and rAAV-PHP.B capsids. We have also shown that intrastromal and intravitreal delivery of rAAV9 can transduce functional LSCs, as well as all four PAX6-expressing retinal cell types in aniridic eye, respectively. Overall, lack of adverse events and successful transduction of LSCs and retinal cells makes it clear that rAAV9 is the capsid of choice for future aniridia gene therapy. Our finding of rAAV lethality after intraocular injections will be impactful for other researchers developing rAAV-based gene therapies.","https://www.nature.com/articles/s41434-023-00400-6"
"gt","Combinatorial gene therapy for epilepsy: Gene sequence positioning and AAV serotype influence expression and inhibitory effect on seizures","Gene therapy with AAV vectors carrying genes for neuropeptide Y and its receptor Y2 has been shown to inhibit seizures in multiple animal models of epilepsy. It is however unknown how the AAV serotype or the sequence order of these two transgenes in the expression cassette affects the actual parenchymal gene expression levels and the seizure-suppressant efficacy. To address these questions, we compared three viral vector serotypes (AAV1, AAV2 and AAV8) and two transgene sequence orders (NPY-IRES-Y2 and Y2-IRES-NPY) in a rat model of acutely induced seizures. Wistar male rats were injected bilaterally with viral vectors and 3 weeks later acute seizures were induced by a subcutaneous injection of kainate. The latency until 1st motor seizure, time spent in motor seizure and latency to status epilepticus were measured to evaluate the seizure-suppressing efficacy of these vectors compared to an empty cassette control vector. Based on the results, the effect of the AAV1-NPY-IRES-Y2 vector was further investigated by in vitro electrophysiology, and its ability to achieve transgene overexpression in resected human hippocampal tissue was evaluated. The AAV1-NPY-IRES-Y2 proved to be better to any other serotype or gene sequence considering both transgene expression and ability to suppress induced seizures in rats. The vector also demonstrated transgene-induced decrease of glutamate release from excitatory neuron terminals and significantly increased both NPY and Y2 expression in resected human hippocampal tissue from patients with drug-resistant temporal lobe epilepsy. These results validate the feasibility of NPY/Y2 receptor gene therapy as a therapeutic opportunity in focal epilepsies.","https://www.nature.com/articles/s41434-023-00399-w"
"gt","Large-scale purification of functional AAV particles packaging the full genome using short-term ultracentrifugation with a zonal rotor","Adeno-associated virus (AAV) vector-based gene therapy is potentially curative for various genetic diseases; however, the development of a scalable purification method for full-genome AAV vectors remains crucial to increase productivity and reduce cost of GMP production. In this study, we developed a large-scale short-term purification method for functional full-genome AAV particles by using 2-step cesium chloride (CsCl) density-gradient ultracentrifugation with a zonal rotor. The 2-step CsCl method with a zonal rotor improves separation between empty and full-genome AAV particles, reducing the ultracentrifugation time (4–5 h) and increasing the AAV volume for purification. The highly purified full-genome AAV particles were confirmed by analytical ultracentrifugation (AUC), droplet digital PCR (ddPCR) in the whole region of the AAV vector genome, transduction efficiency in target cells, and transmission electronic microscopy (TEM). The high-purity AAV9 particles were obtained using culture supernatant during vector preparation rather than cell lysate. CsCl could be simply removed by a hydroxyapatite column. Interestingly, ddPCR analysis revealed that “empty” AAV particles contain small fragments of the inverted terminal repeat (ITR), probably due to unexpected packaging of Rep-mediated ITR fragments. This large-scale functional AAV vector purification with ultracentrifugation would be effective for gene therapy.","https://www.nature.com/articles/s41434-023-00398-x"
"gt","Terminal hairpins improve protein expression in IRES-initiated mRNA in the absence of a cap and polyadenylated tail","Synthesizing mRNA in vitro is a standard and simple procedure. Adding the 5' cap and 3' polyadenylated (poly(A)) tail to make this mRNA functional for use as a vaccine or therapy increases the time and cost of production and usually decreases the yield, however. We designed mRNA that lacked a cap and poly(A) tail but included an internal ribosomal entry site (IRES) to initiate protein translation. To protect the 5′ and 3′ ends of mRNA from exonucleases, we added stable terminal hairpins. When compared against typical mRNA (i.e., mRNA that contained a cap and poly(A) tail but lacked hairpins), expression of the delivered reporter protein in HEK293 cells was similar. Using a triple instead of a single hairpin at each end increased protein expression even more. This method has the potential to simplify the production and reduce the cost of synthesizing exogenous mRNA for use as biologics or vaccines.","https://www.nature.com/articles/s41434-023-00391-4"
"gt","Improving adeno-associated viral (AAV) vector-mediated transgene expression in retinal ganglion cells: comparison of five promoters","Recombinant adeno-associated viral vectors (AAVs) are an effective system for gene transfer. AAV serotype 2 (AAV2) is commonly used to deliver transgenes to retinal ganglion cells (RGCs) via intravitreal injection. The AAV serotype however is not the only factor contributing to the effectiveness of gene therapies. Promoters influence the strength and cell-selectivity of transgene expression. This study compares five promoters designed to maximise AAV2 cargo space for gene delivery: chicken β-actin (CBA), cytomegalovirus (CMV), short CMV early enhancer/chicken β-actin/short β-globulin intron (sCAG), mouse phosphoglycerate kinase (PGK), and human synapsin (SYN). The promoters driving enhanced green fluorescent protein (eGFP) were examined in adult C57BL/6J mice eyes and tissues of the visual system. eGFP expression was strongest in the retina, optic nerves and brain when driven by the sCAG and SYN promoters. CBA, CMV, and PGK had moderate expression by comparison. The SYN promoter had almost exclusive transgene expression in RGCs. The PGK promoter had predominant expression in both RGCs and AII amacrine cells. The ubiquitous CBA, CMV, and sCAG promoters expressed eGFP in a variety of cell types across multiple retinal layers including Müller glia and astrocytes. We also found that these promoters could transduce human retina ex vivo, although expression was predominantly in glial cells due to low RGC viability. Taken together, this promoter comparison study contributes to optimising AAV-mediated transduction in the retina, and could be valuable for research in ocular disorders, particularly those with large or complex genetic cargos.","https://www.nature.com/articles/s41434-022-00380-z"
"gt","Preclinical evaluation of FLT190, a liver-directed AAV gene therapy for Fabry disease","Fabry disease is an X-linked lysosomal storage disorder caused by loss of alpha-galactosidase A (α-Gal A) activity and is characterized by progressive accumulation of glycosphingolipids in multiple cells and tissues. FLT190, an investigational gene therapy, is currently being evaluated in a Phase 1/2 clinical trial in patients with Fabry disease (NCT04040049). FLT190 consists of a potent, synthetic capsid (AAVS3) containing an expression cassette with a codon-optimized human GLA cDNA under the control of a liver-specific promoter FRE1 (AAV2/S3-FRE1-GLAco). For mouse studies FLT190 genome was pseudotyped with AAV8 for efficient transduction. Preclinical studies in a murine model of Fabry disease (Gla-deficient mice), and non-human primates (NHPs) showed dose-dependent increases in plasma α-Gal A with steady-state observed 2 weeks following a single intravenous dose. In Fabry mice, AAV8-FLT190 treatment resulted in clearance of globotriaosylceramide (Gb3) and globotriaosylsphingosine (lyso-Gb3) in plasma, urine, kidney, and heart; electron microscopy analyses confirmed reductions in storage inclusion bodies in kidney and heart. In NHPs, α-Gal A expression was consistent with the levels of hGLA mRNA in liver, and no FLT190-related toxicities or adverse events were observed. Taken together, these studies demonstrate preclinical proof-of-concept of liver-directed gene therapy with FLT190 for the treatment of Fabry disease.","https://www.nature.com/articles/s41434-022-00381-y"
