Journal,Title,Abstract,URL
"nataging","Chromatin accessibility dynamics of neurogenic niche cells reveal defects in neural stem cell adhesion and migration during aging","The regenerative potential of brain stem cell niches deteriorates during aging. Yet the mechanisms underlying this decline are largely unknown. Here we characterize genome-wide chromatin accessibility of neurogenic niche cells in vivo during aging. Interestingly, chromatin accessibility at adhesion and migration genes decreases with age in quiescent neural stem cells (NSCs) but increases with age in activated (proliferative) NSCs. Quiescent and activated NSCs exhibit opposing adhesion behaviors during aging: quiescent NSCs become less adhesive, whereas activated NSCs become more adhesive. Old activated NSCs also show decreased migration in vitro and diminished mobilization out of the niche for neurogenesis in vivo. Using tension sensors, we find that aging increases force-producing adhesions in activated NSCs. Inhibiting the cytoskeletal-regulating kinase ROCK reduces these adhesions, restores migration in old activated NSCs in vitro, and boosts neurogenesis in vivo. These results have implications for restoring the migratory potential of NSCs and for improving neurogenesis in the aged brain.","https://www.nature.com/articles/s43587-023-00449-3"
"nataging","Removal of senescent cells reduces the viral load and attenuates pulmonary and systemic inflammation in SARS-CoV-2-infected, aged hamsters","Older age is one of the strongest risk factors for severe COVID-19. In this study, we determined whether age-associated cellular senescence contributes to the severity of experimental COVID-19. Aged golden hamsters accumulate senescent cells in the lungs, and the senolytic drug ABT-263, a BCL-2 inhibitor, depletes these cells at baseline and during SARS-CoV-2 infection. Relative to young hamsters, aged hamsters had a greater viral load during the acute phase of infection and displayed higher levels of sequelae during the post-acute phase. Early treatment with ABT-263 lowered pulmonary viral load in aged (but not young) animals, an effect associated with lower expression of ACE2, the receptor for SARS-CoV-2. ABT-263 treatment also led to lower pulmonary and systemic levels of senescence-associated secretory phenotype factors and to amelioration of early and late lung disease. These data demonstrate the causative role of age-associated pre-existing senescent cells on COVID-19 severity and have clear clinical relevance.","https://www.nature.com/articles/s43587-023-00442-w"
"nataging","Longevity factor klotho enhances cognition in aged nonhuman primates","Cognitive dysfunction in aging is a major biomedical challenge. Whether treatment with klotho, a longevity factor, could enhance cognition in human-relevant models such as in nonhuman primates is unknown and represents a major knowledge gap in the path to therapeutics. We validated the rhesus form of the klotho protein in mice showing it increased synaptic plasticity and cognition. We then found that a single administration of low-dose, but not high-dose, klotho enhanced memory in aged nonhuman primates. Systemic low-dose klotho treatment may prove therapeutic in aging humans.","https://www.nature.com/articles/s43587-023-00441-x"
"nataging","Author Correction: Systemic GDF11 attenuates depression-like phenotype in aged mice via stimulation of neuronal autophagy","Correction to: Nature Aging https://doi.org/10.1038/s43587-022-00352-3. Published online 2 February 2023.","https://www.nature.com/articles/s43587-023-00454-6"
"nataging","Targeting lymphoid-derived IL-17 signaling to delay skin aging","Skin aging is characterized by structural and functional changes that contribute to age-associated frailty. This probably depends on synergy between alterations in the local niche and stem cell-intrinsic changes, underscored by proinflammatory microenvironments that drive pleotropic changes. The nature of these age-associated inflammatory cues, or how they affect tissue aging, is unknown. Based on single-cell RNA sequencing of the dermal compartment of mouse skin, we show a skew towards an IL-17-expressing phenotype of T helper cells, [gamma][delta] T cells and innate lymphoid cells in aged skin. Importantly, in vivo blockade of IL-17 signaling during aging reduces the proinflammatory state of the skin, delaying the appearance of age-related traits. Mechanistically, aberrant IL-17 signals through NF-[kappa]B in epidermal cells to impair homeostatic functions while promoting an inflammatory state. Our results indicate that aged skin shows signs of chronic inflammation and that increased IL-17 signaling could be targeted to prevent age-associated skin ailments.","https://www.nature.com/articles/s43587-023-00431-z"
"nataging","Reduced mitochondrial calcium uptake in macrophages is a major driver of inflammaging","Mitochondrial dysfunction is linked to age-associated inflammation or inflammaging, but underlying mechanisms are not understood. Analyses of 700 human blood transcriptomes revealed clear signs of age-associated low-grade inflammation. Among changes in mitochondrial components, we found that the expression of mitochondrial calcium uniporter (MCU) and its regulatory subunit MICU1, genes central to mitochondrial Ca2+ (mCa2+) signaling, correlated inversely with age. Indeed, mCa2+ uptake capacity of mouse macrophages decreased significantly with age. We show that in both human and mouse macrophages, reduced mCa2+ uptake amplifies cytosolic Ca2+ oscillations and potentiates downstream nuclear factor kappa B activation, which is central to inflammation. Our findings pinpoint the mitochondrial calcium uniporter complex as a keystone molecular apparatus that links age-related changes in mitochondrial physiology to systemic macrophage-mediated age-associated inflammation. The findings raise the exciting possibility that restoring mCa2+ uptake capacity in tissue-resident macrophages may decrease inflammaging of specific organs and alleviate age-associated conditions such as neurodegenerative and cardiometabolic diseases.","https://www.nature.com/articles/s43587-023-00436-8"
"nataging","Human microglia show unique transcriptional changes in Alzheimer's disease","Microglia, the innate immune cells of the brain, influence Alzheimer's disease (AD) progression and are potential therapeutic targets. However, microglia exhibit diverse functions, the regulation of which is not fully understood, complicating therapeutics development. To better define the transcriptomic phenotypes and gene regulatory networks associated with AD, we enriched for microglia nuclei from 12 AD and 10 control human dorsolateral prefrontal cortices (7 males and 15 females, all aged >60 years) before single-nucleus RNA sequencing. Here we describe both established and previously unrecognized microglial molecular phenotypes, the inferred gene networks driving observed transcriptomic change, and apply trajectory analysis to reveal the putative relationships between microglial phenotypes. We identify microglial phenotypes more prevalent in AD cases compared with controls. Further, we describe the heterogeneity in microglia subclusters expressing homeostatic markers. Our study demonstrates that deep profiling of microglia in human AD brain can provide insight into microglial transcriptional changes associated with AD.","https://www.nature.com/articles/s43587-023-00424-y"
"nataging","Immunovirological and environmental screening reveals actionable risk factors for fatal COVID-19 during post-vaccination nursing home outbreaks","Coronavirus Disease 2019 (COVID-19) vaccination has resulted in excellent protection against fatal disease, including in older adults. However, risk factors for post-vaccination fatal COVID-19 are largely unknown. We comprehensively studied three large nursing home outbreaks (20-35% fatal cases among residents) by combining severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) aerosol monitoring, whole-genome phylogenetic analysis and immunovirological profiling of nasal mucosa by digital nCounter transcriptomics. Phylogenetic investigations indicated that each outbreak stemmed from a single introduction event, although with different variants (Delta, Gamma and Mu). SARS-CoV-2 was detected in aerosol samples up to 52 d after the initial infection. Combining demographic, immune and viral parameters, the best predictive models for mortality comprised IFNB1 or age, viral ORF7a and ACE2 receptor transcripts. Comparison with published pre-vaccine fatal COVID-19 transcriptomic and genomic signatures uncovered a unique IRF3 low/IRF7 high immune signature in post-vaccine fatal COVID-19 outbreaks. A multi-layered strategy, including environmental sampling, immunomonitoring and early antiviral therapy, should be considered to prevent post-vaccination COVID-19 mortality in nursing homes.","https://www.nature.com/articles/s43587-023-00421-1"
"nataging","Author Correction: Effect of long-term caloric restriction on DNA methylation measures of biological aging in healthy adults from the CALERIE trial","Correction to: Nature Aging https://doi.org/10.1038/s43587-022-00357-y. Published online 9 February 2023.","https://www.nature.com/articles/s43587-023-00432-y"
"nataging","Gut-specific telomerase expression counteracts systemic aging in telomerase-deficient zebrafish","Telomere shortening is a hallmark of aging and is counteracted by telomerase. As in humans, the zebrafish gut is one of the organs with the fastest rate of telomere decline, triggering early tissue dysfunction during normal zebrafish aging and in prematurely aged telomerase mutants. However, whether telomere-dependent aging of an individual organ, the gut, causes systemic aging is unknown. Here we show that tissue-specific telomerase expression in the gut can prevent telomere shortening and rescues premature aging of tert−/−. Induction of telomerase rescues gut senescence and low cell proliferation, while restoring tissue integrity, inflammation and age-dependent microbiota dysbiosis. Averting gut aging causes systemic beneficial impacts, rescuing aging of distant organs such as reproductive and hematopoietic systems. Conclusively, we show that gut-specific telomerase expression extends the lifespan of tert−/− by 40%, while ameliorating natural aging. Our work demonstrates that gut-specific rescue of telomerase expression leading to telomere elongation is sufficient to systemically counteract aging in zebrafish.","https://www.nature.com/articles/s43587-023-00401-5"
