Journal,Title,Abstract,URL
"natbiomedeng","Posterior scleral birefringence measured by triple-input polarization-sensitive imaging as a biomarker of myopia progression","In myopic eyes, pathological remodelling of collagen in the posterior sclera has mostly been observed ex vivo. Here we report the development of triple-input polarization-sensitive optical coherence tomography (OCT) for measuring posterior scleral birefringence. In guinea pigs and humans, the technique offers superior imaging sensitivities and accuracies than dual-input polarization-sensitive OCT. In 8-week-long studies with young guinea pigs, scleral birefringence was positively correlated with spherical equivalent refractive errors and predicted the onset of myopia. In a cross-sectional study involving adult individuals, scleral birefringence was associated with myopia status and negatively correlated with refractive errors. Triple-input polarization-sensitive OCT may help establish posterior scleral birefringence as a non-invasive biomarker for assessing the progression of myopia.","https://www.nature.com/articles/s41551-023-01062-w"
"natbiomedeng","Rapid and stain-free quantification of viral plaque via lens-free holography and deep learning","A plaque assay-the gold-standard method for measuring the concentration of replication-competent lytic virions-requires staining and usually more than 48 h of runtime. Here we show that lens-free holographic imaging and deep learning can be combined to expedite and automate the assay. The compact imaging device captures phase information label-free at a rate of approximately 0.32 gigapixels per hour per well, covers an area of about 30 × 30 mm2 and a 10-fold larger dynamic range of virus concentration than standard assays, and quantifies the infected area and the number of plaque-forming units. For the vesicular stomatitis virus, the automated plaque assay detected the first cell-lysing events caused by viral replication as early as 5 h after incubation, and in less than 20 h it detected plaque-forming units at rates higher than 90% at 100% specificity. Furthermore, it reduced the incubation time of the herpes simplex virus type 1 by about 48 h and that of the encephalomyocarditis virus by about 20 h. The stain-free assay should be amenable for use in virology research, vaccine development and clinical diagnosis.","https://www.nature.com/articles/s41551-023-01057-7"
"natbiomedeng","Resolving sepsis-induced immunoparalysis via trained immunity by targeting interleukin-4 to myeloid cells","Immunoparalysis is a compensatory and persistent anti-inflammatory response to trauma, sepsis or another serious insult, which increases the risk of opportunistic infections, morbidity and mortality. Here, we show that in cultured primary human monocytes, interleukin-4 (IL4) inhibits acute inflammation, while simultaneously inducing a long-lasting innate immune memory named trained immunity. To take advantage of this paradoxical IL4 feature in vivo, we developed a fusion protein of apolipoprotein A1 (apoA1) and IL4, which integrates into a lipid nanoparticle. In mice and non-human primates, an intravenously injected apoA1-IL4-embedding nanoparticle targets myeloid-cell-rich haematopoietic organs, in particular, the spleen and bone marrow. We subsequently demonstrate that IL4 nanotherapy resolved immunoparalysis in mice with lipopolysaccharide-induced hyperinflammation, as well as in ex vivo human sepsis models and in experimental endotoxemia. Our findings support the translational development of nanoparticle formulations of apoA1-IL4 for the treatment of patients with sepsis at risk of immunoparalysis-induced complications.","https://www.nature.com/articles/s41551-023-01050-0"
"natbiomedeng","Universal redirection of CAR T cells against solid tumours via membrane-inserted ligands for the CAR","The effectiveness of chimaeric antigen receptor (CAR) T cell therapies for solid tumours is hindered by difficulties in the selection of an effective target antigen, owing to the heterogeneous expression of tumour antigens and to target antigen expression in healthy tissues. Here we show that T cells with a CAR specific for fluorescein isothiocyanate (FITC) can be directed against solid tumours via the intratumoural administration of a FITC-conjugated lipid-poly(ethylene)-glycol amphiphile that inserts itself into cell membranes. In syngeneic and human tumour xenografts in mice, 'amphiphile tagging' of tumour cells drove tumour regression via the proliferation and accumulation of FITC-specific CAR T cells in the tumours. In syngeneic tumours, the therapy induced the infiltration of host T cells, elicited endogenous tumour-specific T cell priming and led to activity against distal untreated tumours and to protection against tumour rechallenge. Membrane-inserting ligands for specific CARs may facilitate the development of adoptive cell therapies that work independently of antigen expression and of tissue of origin.","https://www.nature.com/articles/s41551-023-01048-8"
"natbiomedeng","Detection of viral RNAs at ambient temperature via reporter proteins produced through the target-splinted ligation of DNA probes","Nucleic acid assays are not typically deployable in point-of-care settings because they require costly and sophisticated equipment for the control of the reaction temperature and for the detection of the signal. Here we report an instrument-free assay for the accurate and multiplexed detection of nucleic acids at ambient temperature. The assay, which we named INSPECTR (for internal splint-pairing expression-cassette translation reaction), leverages the target-specific splinted ligation of DNA probes to generate expression cassettes that can be flexibly designed for the cell-free synthesis of reporter proteins, with enzymatic reporters allowing for a linear detection range spanning four orders of magnitude and peptide reporters (which can be mapped to unique targets) enabling highly multiplexed visual detection. We used INSPECTR to detect a panel of five respiratory viral targets in a single reaction via a lateral-flow readout and ~4,000 copies of viral RNA via additional ambient-temperature rolling circle amplification of the expression cassette. Leveraging synthetic biology to simplify workflows for nucleic acid diagnostics may facilitate their broader applicability at the point of care.","https://www.nature.com/articles/s41551-023-01028-y"
"natbiomedeng","Suppression of local inflammation via galectin-anchored indoleamine 2,3-dioxygenase","The treatment of chronic inflammation with systemically administered anti-inflammatory treatments is associated with moderate-to-severe side effects, and the efficacy of locally administered drugs is short-lived. Here we show that inflammation can be locally suppressed by a fusion protein of the immunosuppressive enzyme indoleamine 2,3-dioxygenase 1 (IDO) and galectin-3 (Gal3). Gal3 anchors IDO to tissue, limiting the diffusion of IDO-Gal3 away from the injection site. In rodent models of endotoxin-induced inflammation, psoriasis, periodontal disease and osteoarthritis, the fusion protein remained in the inflamed tissues and joints for about 1 week after injection, and the amelioration of local inflammation, disease progression and inflammatory pain in the animals were concomitant with homoeostatic preservation of the tissues and with the absence of global immune suppression. IDO-Gal3 may serve as an immunomodulatory enzyme for the control of focal inflammation in other inflammatory conditions.","https://www.nature.com/articles/s41551-023-01025-1"
"natbiomedeng","Ex vivo prime editing of patient haematopoietic stem cells rescues sickle-cell disease phenotypes after engraftment in mice","Sickle-cell disease (SCD) is caused by an A·T-to-T·A transversion mutation in the [beta]-globin gene (HBB). Here we show that prime editing can correct the SCD allele (HBBS) to wild type (HBBA) at frequencies of 15%-41% in haematopoietic stem and progenitor cells (HSPCs) from patients with SCD. Seventeen weeks after transplantation into immunodeficient mice, prime-edited SCD HSPCs maintained HBBA levels and displayed engraftment frequencies, haematopoietic differentiation and lineage maturation similar to those of unedited HSPCs from healthy donors. An average of 42% of human erythroblasts and reticulocytes isolated 17 weeks after transplantation of prime-edited HSPCs from four SCD patient donors expressed HBBA, exceeding the levels predicted for therapeutic benefit. HSPC-derived erythrocytes carried less sickle haemoglobin, contained HBBA-derived adult haemoglobin at 28%-43% of normal levels and resisted hypoxia-induced sickling. Minimal off-target editing was detected at over 100 sites nominated experimentally via unbiased genome-wide analysis. Our findings support the feasibility of a one-time prime editing SCD treatment that corrects HBBS to HBBA, does not require any viral or non-viral DNA template and minimizes undesired consequences of DNA double-strand breaks.","https://www.nature.com/articles/s41551-023-01026-0"
"natbiomedeng","A lentiviral vector for the production of T cells with an inducible transgene and a constitutively expressed tumour-targeting receptor","Vectors that facilitate the engineering of T cells that can better harness endogenous immunity and overcome suppressive barriers in the tumour microenvironment would help improve the safety and efficacy of T-cell therapies for more patients. Here we report the design, production and applicability, in T-cell engineering, of a lentiviral vector leveraging an antisense configuration and comprising a promoter driving the constitutive expression of a tumour-directed receptor and a second promoter enabling the efficient activation-inducible expression of a genetic payload. The vector allows for the delivery of a variety of genes to human T cells, as we show for interleukin-2 and a microRNA-based short hairpin RNA for the knockdown of the gene coding for haematopoietic progenitor kinase 1, a negative regulator of T-cell-receptor signalling. We also show that a gene encoded under an activation-inducible promoter is specifically expressed by tumour-redirected T cells on encountering a target antigen in the tumour microenvironment. The single two-gene-encoding vector can be produced at high titres under an optimized protocol adaptable to good manufacturing practices.","https://www.nature.com/articles/s41551-023-01013-5"
"natbiomedeng","Optimization of Cas9 activity through the addition of cytosine extensions to single-guide RNAs","The precise regulation of the activity of Cas9 is crucial for safe and efficient editing. Here we show that the genome-editing activity of Cas9 can be constrained by the addition of cytosine stretches to the 5'-end of conventional single-guide RNAs (sgRNAs). Such a 'safeguard sgRNA' strategy, which is compatible with Cas12a and with systems for gene activation and interference via CRISPR (clustered regularly interspaced short palindromic repeats), leads to the length-dependent inhibition of the formation of functional Cas9 complexes. Short cytosine extensions reduced p53 activation and cytotoxicity in human pluripotent stem cells, and enhanced homology-directed repair while maintaining bi-allelic editing. Longer extensions further decreased on-target activity yet improved the specificity and precision of mono-allelic editing. By monitoring indels through a fluorescence-based allele-specific system and computational simulations, we identified optimal windows of Cas9 activity for a number of genome-editing applications, including bi-allelic and mono-allelic editing, and the generation and correction of disease-associated single-nucleotide substitutions via homology-directed repair. The safeguard-sgRNA strategy may improve the safety and applicability of genome editing.","https://www.nature.com/articles/s41551-023-01011-7"
"natbiomedeng","Rapid single-cell physical phenotyping of mechanically dissociated tissue biopsies","During surgery, rapid and accurate histopathological diagnosis is essential for clinical decision making. Yet the prevalent method of intra-operative consultation pathology is intensive in time, labour and costs, and requires the expertise of trained pathologists. Here we show that biopsy samples can be analysed within 30 min by sequentially assessing the physical phenotypes of singularized suspended cells dissociated from the tissues. The diagnostic method combines the enzyme-free mechanical dissociation of tissues, real-time deformability cytometry at rates of 100-1,000 cells s−1 and data analysis by unsupervised dimensionality reduction and logistic regression. Physical phenotype parameters extracted from brightfield images of single cells distinguished cell subpopulations in various tissues, enhancing or even substituting measurements of molecular markers. We used the method to quantify the degree of colon inflammation and to accurately discriminate healthy and tumorous tissue in biopsy samples of mouse and human colons. This fast and label-free approach may aid the intra-operative detection of pathological changes in solid biopsies.","https://www.nature.com/articles/s41551-023-01015-3"
