Journal,Title,Abstract,URL
"natcancer","Interferon signaling promotes tolerance to chromosomal instability during metastatic evolution in renal cancer","Molecular routes to metastatic dissemination are critical determinants of aggressive cancers. Through in vivo CRISPR-Cas9 genome editing, we generated somatic mosaic genetically engineered models that faithfully recapitulate metastatic renal tumors. Disruption of 9p21 locus is an evolutionary driver to systemic disease through the rapid acquisition of complex karyotypes in cancer cells. Cross-species analysis revealed that recurrent patterns of copy number variations, including 21q loss and dysregulation of the interferon pathway, are major drivers of metastatic potential. In vitro and in vivo genomic engineering, leveraging loss-of-function studies, along with a model of partial trisomy of chromosome 21q, demonstrated a dosage-dependent effect of the interferon receptor genes cluster as an adaptive mechanism to deleterious chromosomal instability in metastatic progression. This work provides critical knowledge on drivers of renal cell carcinoma progression and defines the primary role of interferon signaling in constraining the propagation of aneuploid clones in cancer evolution.","https://www.nature.com/articles/s43018-023-00584-1"
"natcancer","High-plex immunofluorescence imaging and traditional histology of the same tissue section for discovering image-based biomarkers","Precision medicine is critically dependent on better methods for diagnosing and staging disease and predicting drug response. Histopathology using hematoxylin and eosin (H&E)-stained tissue (not genomics) remains the primary diagnostic method in cancer. Recently developed highly multiplexed tissue imaging methods promise to enhance research studies and clinical practice with precise, spatially resolved single-cell data. Here, we describe the 'Orion' platform for collecting H&E and high-plex immunofluorescence images from the same cells in a whole-slide format suitable for diagnosis. Using a retrospective cohort of 74 colorectal cancer resections, we show that immunofluorescence and H&E images provide human experts and machine learning algorithms with complementary information that can be used to generate interpretable, multiplexed image-based models predictive of progression-free survival. Combining models of immune infiltration and tumor-intrinsic features achieves a 10- to 20-fold discrimination between rapid and slow (or no) progression, demonstrating the ability of multimodal tissue imaging to generate high-performance biomarkers.","https://www.nature.com/articles/s43018-023-00576-1"
"natcancer","An allosteric pan-TEAD inhibitor blocks oncogenic YAP/TAZ signaling and overcomes KRAS G12C inhibitor resistance","The Hippo pathway is a key growth control pathway that is conserved across species. The downstream effectors of the Hippo pathway, YAP (Yes-associated protein) and TAZ (transcriptional coactivator with PDZ-binding motif), are frequently activated in cancers to drive proliferation and survival. Based on the premise that sustained interactions between YAP/TAZ and TEADs (transcriptional enhanced associate domain) are central to their transcriptional activities, we discovered a potent small-molecule inhibitor (SMI), GNE-7883, that allosterically blocks the interactions between YAP/TAZ and all human TEAD paralogs through binding to the TEAD lipid pocket. GNE-7883 effectively reduces chromatin accessibility specifically at TEAD motifs, suppresses cell proliferation in a variety of cell line models and achieves strong antitumor efficacy in vivo. Furthermore, we uncovered that GNE-7883 effectively overcomes both intrinsic and acquired resistance to KRAS (Kirsten rat sarcoma viral oncogene homolog) G12C inhibitors in diverse preclinical models through the inhibition of YAP/TAZ activation. Taken together, this work demonstrates the activities of TEAD SMIs in YAP/TAZ-dependent cancers and highlights their potential broad applications in precision oncology and therapy resistance.","https://www.nature.com/articles/s43018-023-00577-0"
"natcancer","Tumor-intrinsic sensitivity to the pro-apoptotic effects of IFN-[gamma] is a major determinant of CD4+ CAR T-cell antitumor activity","CD4+ T cells and CD4+ chimeric antigen receptor (CAR) T cells display highly variable antitumor activity in preclinical models and in patients; however, the mechanisms dictating how and when CD4+ T cells promote tumor regression are incompletely understood. With the help of functional intravital imaging, we report that interferon (IFN)-[gamma] production but not perforin-mediated cytotoxicity was the dominant mechanism for tumor elimination by anti-CD19 CD4+ CAR T cells. Mechanistically, mouse or human CD4+ CAR T-cell-derived IFN-[gamma] diffused extensively to act on tumor cells at distance selectively killing tumors sensitive to cytokine-induced apoptosis, including antigen-negative variants. In anti-CD19 CAR T-cell-treated patients exhibiting elevated CAR CD4:CD8 ratios, strong induction of serum IFN-[gamma] was associated with increased survival. We propose that the sensitivity of tumor cells to the pro-apoptotic activity of IFN-[gamma] is a major determinant of CD4+ CAR T-cell efficacy and may be considered to guide the use of CD4+ T cells during immunotherapy.","https://www.nature.com/articles/s43018-023-00570-7"
"natcancer","Phenotypic diversity of T cells in human primary and metastatic brain tumors revealed by multiomic interrogation","The immune-specialized environment of the healthy brain is tightly regulated to prevent excessive neuroinflammation. However, after cancer development, a tissue-specific conflict between brain-preserving immune suppression and tumor-directed immune activation may ensue. To interrogate potential roles of T cells in this process, we profiled these cells from individuals with primary or metastatic brain cancers via integrated analyses on the single-cell and bulk population levels. Our analysis revealed similarities and differences in T cell biology between individuals, with the most pronounced differences observed in a subgroup of individuals with brain metastasis, characterized by accumulation of CXCL13-expressing CD39+ potentially tumor-reactive T (pTRT) cells. In this subgroup, high pTRT cell abundance was comparable to that in primary lung cancer, whereas all other brain tumors had low levels, similar to primary breast cancer. These findings indicate that T cell-mediated tumor reactivity can occur in certain brain metastases and may inform stratification for treatment with immunotherapy.","https://www.nature.com/articles/s43018-023-00566-3"
"natcancer","GAP43-dependent mitochondria transfer from astrocytes enhances glioblastoma tumorigenicity","The transfer of intact mitochondria between heterogeneous cell types has been confirmed in various settings, including cancer. However, the functional implications of mitochondria transfer on tumor biology are poorly understood. Here we show that mitochondria transfer is a prevalent phenomenon in glioblastoma (GBM), the most frequent and malignant primary brain tumor. We identified horizontal mitochondria transfer from astrocytes as a mechanism that enhances tumorigenesis in GBM. This transfer is dependent on network-forming intercellular connections between GBM cells and astrocytes, which are facilitated by growth-associated protein 43 (GAP43), a protein involved in neuron axon regeneration and astrocyte reactivity. The acquisition of astrocyte mitochondria drives an increase in mitochondrial respiration and upregulation of metabolic pathways linked to proliferation and tumorigenicity. Functionally, uptake of astrocyte mitochondria promotes cell cycle progression to proliferative G2/M phases and enhances self-renewal and tumorigenicity of GBM. Collectively, our findings reveal a host-tumor interaction that drives proliferation and self-renewal of cancer cells, providing opportunities for therapeutic development.","https://www.nature.com/articles/s43018-023-00556-5"
"natcancer","A sense-antisense RNA interaction promotes breast cancer metastasis via regulation of NQO1 expression","Antisense RNAs are ubiquitous in human cells, yet their role is largely unexplored. Here we profiled antisense RNAs in the MDA-MB-231 breast cancer cell line and its highly lung metastatic derivative. We identified one antisense RNA that drives cancer progression by upregulating the redox enzyme NADPH quinone dehydrogenase 1 (NQO1), and named it NQO1-AS. Knockdown of either NQO1 or NQO1-AS reduced lung colonization in a mouse model, and investigation into the role of NQO1 indicated that it is broadly protective against oxidative damage and ferroptosis. Breast cancer cells in the lung are dependent on this pathway, and this dependence can be exploited therapeutically by inducing ferroptosis while inhibiting NQO1. Together, our findings establish a role for NQO1-AS in the progression of breast cancer by regulating its sense mRNA post-transcriptionally. Because breast cancer predominantly affects females, the disease models used in this study are of female origin and the results are primarily applicable to females.","https://www.nature.com/articles/s43018-023-00554-7"
"natcancer","The immunopeptidome landscape associated with T cell infiltration, inflammation and immune editing in lung cancer","One key barrier to improving efficacy of personalized cancer immunotherapies that are dependent on the tumor antigenic landscape remains patient stratification. Although patients with CD3+CD8+ T cell-inflamed tumors typically show better response to immune checkpoint inhibitors, it is still unknown whether the immunopeptidome repertoire presented in highly inflamed and noninflamed tumors is substantially different. We surveyed 61 tumor regions and adjacent nonmalignant lung tissues from 8 patients with lung cancer and performed deep antigen discovery combining immunopeptidomics, genomics, bulk and spatial transcriptomics, and explored the heterogeneous expression and presentation of tumor (neo)antigens. In the present study, we associated diverse immune cell populations with the immunopeptidome and found a relatively higher frequency of predicted neoantigens located within HLA-I presentation hotspots in CD3+CD8+ T cell-excluded tumors. We associated such neoantigens with immune recognition, supporting their involvement in immune editing. This could have implications for the choice of combination therapies tailored to the patient's mutanome and immune microenvironment.","https://www.nature.com/articles/s43018-023-00548-5"
"natcancer","Ex vivo drug response heterogeneity reveals personalized therapeutic strategies for patients with multiple myeloma","Multiple myeloma (MM) is a plasma cell malignancy defined by complex genetics and extensive patient heterogeneity. Despite a growing arsenal of approved therapies, MM remains incurable and in need of guidelines to identify effective personalized treatments. Here, we survey the ex vivo drug and immunotherapy sensitivities across 101 bone marrow samples from 70 patients with MM using multiplexed immunofluorescence, automated microscopy and deep-learning-based single-cell phenotyping. Combined with sample-matched genetics, proteotyping and cytokine profiling, we map the molecular regulatory network of drug sensitivity, implicating the DNA repair pathway and EYA3 expression in proteasome inhibitor sensitivity and major histocompatibility complex class II expression in the response to elotuzumab. Globally, ex vivo drug sensitivity associated with bone marrow microenvironmental signatures reflecting treatment stage, clonality and inflammation. Furthermore, ex vivo drug sensitivity significantly stratified clinical treatment responses, including to immunotherapy. Taken together, our study provides molecular and actionable insights into diverse treatment strategies for patients with MM.","https://www.nature.com/articles/s43018-023-00544-9"
"natcancer","CD103+ regulatory T cells underlie resistance to radio-immunotherapy and impair CD8+ T cell activation in glioblastoma","Glioblastomas are aggressive primary brain tumors with an inherent resistance to T cell-centric immunotherapy due to their low mutational burden and immunosuppressive tumor microenvironment. Here we report that fractionated radiotherapy of preclinical glioblastoma models induce a tenfold increase in T cell content. Orthogonally, spatial imaging mass cytometry shows T cell enrichment in human recurrent tumors compared with matched primary glioblastoma. In glioblastoma-bearing mice, [alpha]-PD-1 treatment applied at the peak of T cell infiltration post-radiotherapy results in a modest survival benefit compared with concurrent [alpha]-PD-1 administration. Following [alpha]-PD-1 therapy, CD103+ regulatory T cells (Tregs) with upregulated lipid metabolism accumulate in the tumor microenvironment, and restrain immune checkpoint blockade response by repressing CD8+ T cell activation. Treg targeting elicits tertiary lymphoid structure formation, enhances CD4+ and CD8+ T cell frequency and function and unleashes radio-immunotherapeutic efficacy. These results support the rational design of therapeutic regimens limiting the induction of immunosuppressive feedback pathways in the context of T cell immunotherapy in glioblastoma.","https://www.nature.com/articles/s43018-023-00547-6"
