Journal,Title,Abstract,URL
"natcardiovascres","Outlining cardiac ion channel protein interactors and their signature in the human electrocardiogram","Protein–protein interactions are essential for normal cellular processes and signaling events. Defining these interaction networks is therefore crucial for understanding complex cellular functions and interpretation of disease-associated gene variants. We need to build a comprehensive picture of the interactions, their affinities and interdependencies in the specific organ to decipher hitherto poorly understood signaling mechanisms through ion channels. Here we report the experimental identification of the ensemble of protein interactors for 13 types of ion channels in murine cardiac tissue. Of these, we validated the functional importance of ten interactors on cardiac electrophysiology through genetic knockouts in zebrafish, gene silencing in mice, super-resolution microscopy and patch clamp experiments. Furthermore, we establish a computational framework to reconstruct human cardiomyocyte ion channel networks from deep proteome mapping of human heart tissue and human heart single-cell gene expression data. Finally, we integrate the ion channel interactome with human population genetics data to identify proteins that influence the electrocardiogram (ECG). We demonstrate that the combined channel network is enriched for proteins influencing the ECG, with 44% of the network proteins significantly associated with an ECG phenotype. Altogether, we define interactomes of 13 major cardiac ion channels, contextualize their relevance to human electrophysiology and validate functional roles of ten interactors, including two regulators of the sodium current (epsin-2 and gelsolin). Overall, our data provide a roadmap for our understanding of the molecular machinery that regulates cardiac electrophysiology.","https://www.nature.com/articles/s44161-023-00294-y"
"natcardiovascres","Calcineurin signaling promotes takotsubo syndrome","Takotsubo syndrome (TTS) is an acute heart failure syndrome that mimics the symptoms of acute myocardial infarction and is often preceded by emotional and/or physical stress. There is currently no treatment for TTS. Here we show that injection of 2.5 mg kg−1 of epinephrine (EPI) into mice recapitulates numerous features of human TTS, including increased myocardial damage and mortality in males. Gene set enrichment analysis of myocardial RNA sequencing after EPI injection revealed significant enrichment of calcineurin-dependent pro-inflammatory gene networks, which was more pronounced in male than in female mice, in agreement with observed sex discrepancies in the mouse phenotype. An increase in calcineurin activity was detected in the circulating cells of patients with TTS, suggesting a systemic nature of the syndrome. Preventive and therapeutic treatment of mice injected with EPI using calcineurin inhibitors cyclosporine and tacrolimus improved heart function and reduced myocardial injury. Our findings suggest that calcineurin inhibition could be a potential therapy for TTS.","https://www.nature.com/articles/s44161-023-00296-w"
"natcardiovascres","Publisher Correction: Systems immunology-based drug repurposing framework to target inflammation in atherosclerosis","Correction to: Nature Cardiovascular Research https://doi.org/10.1038/s44161-023-00278-y. Published online 8 June 2023.","https://www.nature.com/articles/s44161-023-00310-1"
"natcardiovascres","The VE-cadherin/AmotL2 mechanosensory pathway suppresses aortic inflammation and the formation of abdominal aortic aneurysms","Endothelial cells respond to mechanical forces exerted by blood flow. Endothelial cell–cell junctions and the sites of endothelial adhesion to the matrix sense and transmit mechanical forces to the cellular cytoskeleton. Here we show that the scaffold protein AmotL2 connects junctional VE-cadherin and actin filaments to the nuclear lamina. AmotL2 is essential for the formation of radial actin filaments and the alignment of endothelial cells, and, in its absence, nuclear integrity and positioning are altered. Molecular analysis demonstrated that VE-cadherin binds to AmotL2 and actin, resulting in a cascade that transmits extracellular mechanical signals to the nuclear membrane. Furthermore, the endothelial deficit of AmotL2 in mice fed normal diet provoked a pro-inflammatory response and abdominal aortic aneurysms (AAAs). Transcriptome analysis of human AAA samples revealed a negative correlation between AmotL2 and inflammation of the aortic intima. These findings offer insight into the link between junctional mechanotransduction and vascular disease.","https://www.nature.com/articles/s44161-023-00298-8"
"natcardiovascres","Systems immunology-based drug repurposing framework to target inflammation in atherosclerosis","The development of new immunotherapies to treat the inflammatory mechanisms that sustain atherosclerotic cardiovascular disease (ASCVD) is urgently needed. Herein, we present a path to drug repurposing to identify immunotherapies for ASCVD. The integration of time-of-flight mass cytometry and RNA sequencing identified unique inflammatory signatures in peripheral blood mononuclear cells stimulated with ASCVD plasma. By comparing these inflammatory signatures to large-scale gene expression data from the LINCS L1000 dataset, we identified drugs that could reverse this inflammatory response. Ex vivo screens, using human samples, showed that saracatinib—a phase 2a-ready SRC and ABL inhibitor—reversed the inflammatory responses induced by ASCVD plasma. In Apoe−/− mice, saracatinib reduced atherosclerosis progression by reprogramming reparative macrophages. In a rabbit model of advanced atherosclerosis, saracatinib reduced plaque inflammation measured by [18F]fluorodeoxyglucose positron emission tomography–magnetic resonance imaging. Here we show a systems immunology-driven drug repurposing with a preclinical validation strategy to aid the development of cardiovascular immunotherapies.","https://www.nature.com/articles/s44161-023-00278-y"
"natcardiovascres","Incongruence between transcriptional and vascular pathophysiological cell states","The Notch pathway is a major regulator of endothelial transcriptional specification. Targeting the Notch receptors or Delta-like ligand 4 (Dll4) dysregulates angiogenesis. Here, by analyzing single and compound genetic mutants for all Notch signaling members, we find significant differences in the way ligands and receptors regulate liver vascular homeostasis. Loss of Notch receptors caused endothelial hypermitogenic cell-cycle arrest and senescence. Conversely, Dll4 loss triggered a strong Myc-driven transcriptional switch inducing endothelial proliferation and the tip-cell state. Myc loss suppressed the induction of angiogenesis in the absence of Dll4, without preventing the vascular enlargement and organ pathology. Similarly, inhibition of other pro-angiogenic pathways, including MAPK/ERK and mTOR, had no effect on the vascular expansion induced by Dll4 loss; however, anti-VEGFA treatment prevented it without fully suppressing the transcriptional and metabolic programs. This study shows incongruence between single-cell transcriptional states, vascular phenotypes and related pathophysiology. Our findings also suggest that the vascular structure abnormalization, rather than neoplasms, causes the reported anti-Dll4 antibody toxicity.","https://www.nature.com/articles/s44161-023-00272-4"
"natcardiovascres","Author Correction: Three-dimensional morphologic and molecular atlases of nasal vasculature","Correction to: Nature Cardiovascular Research https://doi.org/10.1038/s44161-023-00257-3, published online 20 March 2023.","https://www.nature.com/articles/s44161-023-00287-x"
"natcardiovascres","Genetic or therapeutic neutralization of ALK1 reduces LDL transcytosis and atherosclerosis in mice","Low-density lipoprotein (LDL) accumulation in the arterial wall contributes to atherosclerosis initiation and progression1. Activin A receptor-like type 1 (ACVRL1, called activin-like kinase receptor (ALK1)) is a recently identified receptor that mediates LDL entry and transcytosis in endothelial cells (ECs)2,3. However, the role of this pathway in vivo is not yet known. In the present study, we show that genetic deletion of ALK1 in arterial ECs of mice substantially limits LDL accumulation, macrophage infiltration and atherosclerosis without affecting cholesterol or triglyceride levels. Moreover, a selective monoclonal antibody binding ALK1 efficiently blocked LDL transcytosis, but not bone morphogenetic protein-9 (BMP9) signaling, dramatically reducing plaque formation in LDL receptor knockout mice fed a high-fat diet. Thus, our results demonstrate that blocking LDL transcytosis into the endothelium may be a promising therapeutic strategy that targets the initiating event of atherosclerotic cardiovascular disease.","https://www.nature.com/articles/s44161-023-00266-2"
"natcardiovascres","Author Correction: A single-cell comparison of adult and fetal human epicardium defines the age-associated changes in epicardial activity","Correction to: Nature Cardiovascular Research https://doi.org/10.1038/s44161-022-00183-w. Published online 21 December 2022.","https://www.nature.com/articles/s44161-023-00269-z"
"natcardiovascres","Platelet glycoprotein V spatio-temporally controls fibrin formation","The activation of platelets and coagulation at vascular injury sites is crucial for hemostasis but can promote thrombosis and inflammation in vascular pathologies. Here, we delineate an unexpected spatio-temporal control mechanism of thrombin activity that is platelet orchestrated and locally limits excessive fibrin formation after initial hemostatic platelet deposition. During platelet activation, the abundant platelet glycoprotein (GP)V is cleaved by thrombin. We demonstrate, with genetic and pharmacological approaches, that thrombin-mediated shedding of GPV does not primarily regulate platelet activation in thrombus formation but rather has a distinct function after platelet deposition and specifically limits thrombin-dependent generation of fibrin, a crucial mediator of vascular thrombo-inflammation. Genetic or pharmacologic defects in hemostatic platelet function are unexpectedly attenuated by specific blockade of GPV shedding, indicating that the spatio-temporal control of thrombin-dependent fibrin generation also represents a potential therapeutic target to improve hemostasis.","https://www.nature.com/articles/s44161-023-00254-6"
