Journal,Title,Abstract,URL
"natcatal","Engineered cytochrome P450 for direct arylalkene-to-ketone oxidation via highly reactive carbocation intermediates","Ketones are crucial intermediates in synthesis and frequent moieties in many products. The direct regioselective synthesis of ketones from internal alkenes could simplify synthetic routes and solve a long-standing challenge in catalysis. Here we report the laboratory evolution of a cytochrome P450 enzyme for the direct oxidation of internal arylalkenes to ketones with several thousand turnovers. This evolved ketone synthase benefits from 15 crucial mutations, most of them distal to the active site. Computational analysis revealed that all these mutations collaborate to generate and tame a highly reactive carbocation intermediate. This is achieved through a confined, rigid, and geometrically and electrostatically preorganized active site. The engineered enzyme exploits a metal–oxo species for ketone synthesis and enables various challenging alkene functionalization reactions. This includes the catalytic, enantioselective oxidation of internal alkenes to ketones and formal asymmetric hydrofunctionalizations of internal alkenes in combination with other biocatalysts.","https://www.nature.com/articles/s41929-023-00979-4"
"natcatal","Methyl formate as a hydrogen energy carrier","The use of renewable energy is central for the realization of a circular economy, which is essential for further global economic development. In this background, hydrogen storage materials play an important role. Here we propose a previously overlooked, industrially available bulk chemical (methyl formate, MF) as an efficient and practical hydrogen storage material. Utilizing appropriate catalysts, hydrogen production from MF is significantly faster than with other established chemical hydrogen carriers, such as formic acid and methanol, under very mild conditions. The optimized MF dehydrogenation system presented here is highly active (maximum turnover frequency (TOFmax) > 44,000 h−1 and turnover number > 100,000) and selective (CO undetectable). Moreover, the solvent-free MF dehydrogenation demonstrates its application potential. Here we show the dehydrogenation reaction of MF. We expect that these insights will serve as an inspiration for the development of alternative energy materials and new catalytic transformations.","https://www.nature.com/articles/s41929-023-00959-8"
"natcatal","Molecular basis for carrier protein-dependent amide bond formation in the biosynthesis of lincosamide antibiotics","In the biosynthesis of the lincosamide antibiotic celesticetin, the condensation enzyme CcbD generates the lincosamide pharmacophore by forming an amide bond between the carrier protein (CP)-tethered proline and ergothioneine-conjugated thiooctose. Although the function of CcbD has been investigated, its substrate specificity, structures and catalytic mechanisms remain unclear. Here we show the structure–function analyses of CcbD. Our biochemical analysis revealed that CcbD exhibits promiscuous substrate specificity towards CP-tethered acyl substrates to generate unnatural lincosamides. Furthermore, structural analyses indicated that CcbD possesses an unusual overall fold, while the N-terminal region shows weak similarity to cysteine proteases. Thus, CcbD, like cysteine proteases, utilizes the Cys-His-Glu catalytic triad to form amide bonds in a CP-dependent manner, which is significantly different from other known amide bond-forming enzymes. Furthermore, the structures of the CcbD/thiooctose complex and the cross-linked CcbD/CcbZ-CP complex, as well as structure-based mutagenesis, revealed the intimate structural details of the CP-dependent amide bond formation reaction.","https://www.nature.com/articles/s41929-023-00971-y"
"natcatal","Three-dimensional nanoimaging of fuel cell catalyst layers","Catalyst layers in proton exchange membrane fuel cells consist of platinum-group-metal nanocatalysts supported on carbon aggregates, forming a porous structure through which an ionomer network percolates. The local structural character of these heterogeneous assemblies is directly linked to the mass-transport resistances and subsequent cell performance losses; its three-dimensional visualization is therefore of interest. Herein we implement deep-learning-aided cryogenic transmission electron tomography for image restoration, and we quantitatively investigate the full morphology of various catalyst layers at the local-reaction-site scale. The analysis enables computation of metrics such as the ionomer morphology, coverage and homogeneity, location of platinum on the carbon supports, and platinum accessibility to the ionomer network, with the results directly compared and validated with experimental measurements. We expect that our findings and methodology for evaluating catalyst layer architectures will contribute towards linking the morphology to transport properties and overall fuel cell performance.","https://www.nature.com/articles/s41929-023-00947-y"
"natcatal","Ultrasmall amorphous zirconia nanoparticles catalyse polyolefin hydrogenolysis","Carbon–carbon bond cleavage reactions, adapted to deconstruct aliphatic hydrocarbon polymers and recover the intrinsic energy and carbon value in plastic waste, have typically been catalysed by metal nanoparticles or air-sensitive organometallics. Metal oxides that serve as supports for these catalysts are typically considered to be inert. Here we show that Earth-abundant, non-reducible zirconia catalyses the hydrogenolysis of polyolefins with activity rivalling that of precious metal nanoparticles. To harness this unusual reactivity, our catalytic architecture localizes ultrasmall amorphous zirconia nanoparticles between two fused platelets of mesoporous silica. Macromolecules translocate from bulk through radial mesopores to the highly active zirconia particles, where the chains undergo selective hydrogenolytic cleavage into a narrow, C18-centred distribution. Calculations indicated that C–H bond heterolysis across a Zr–O bond of a Zr(O)2 adatom model for unsaturated surface sites gives a zirconium hydrocarbyl, which cleaves a C–C bond via β-alkyl elimination.","https://www.nature.com/articles/s41929-023-00910-x"
"natcatal","Anti-Markovnikov hydrochlorination and hydronitrooxylation of α-olefins via visible-light photocatalysis","Conventional hydrofunctionalization of α-olefins with mineral acids proceeds with Markovnikov selectivity to afford branched isomers. The direct formation of linear constitutional isomers is challenging, yet anti-Markovnikov addition would be valuable for the synthesis of commodity chemicals, such as primary alcohols, which are currently only accessible via stoichiometric redox reactions, with a full equivalent of waste of both oxidant and reductant. Strategies that utilize radical intermediates have been demonstrated, but only for activated alkenes, and the direct use of aqueous mineral acids remains elusive. Here we present anti-Markovnikov addition reactions of aqueous hydrochloric and nitric acid to unactivated alkenes. The transformation is enabled by the in situ generation of photoredox-active ion pairs, derived from acridine and the mineral acid, as a combined charge- and phase-transfer catalyst. The introduction of a hydrogen atom transfer catalyst enabled us to bypass the challenging chain propagation by hydrochloric and nitric acids that originates from the high bond dissociation energy.","https://www.nature.com/articles/s41929-023-00914-7"
"natcatal","Molecular mechanism of topoisomerase poisoning by the peptide antibiotic albicidin","The peptide antibiotic albicidin is a DNA topoisomerase inhibitor with low-nanomolar bactericidal activity towards fluoroquinolone-resistant Gram-negative pathogens. However, its mode of action is poorly understood. We determined a 2.6 Å resolution cryoelectron microscopy structure of a ternary complex between Escherichia coli topoisomerase DNA gyrase, a 217 bp double-stranded DNA fragment and albicidin. Albicidin employs a dual binding mechanism where one end of the molecule obstructs the crucial gyrase dimer interface, while the other intercalates between the fragments of cleaved DNA substrate. Thus, albicidin efficiently locks DNA gyrase, preventing it from religating DNA and completing its catalytic cycle. Two additional structures of this trapped state were determined using synthetic albicidin analogues that demonstrate improved solubility, and activity against a range of gyrase variants and E. coli topoisomerase IV. The extraordinary promiscuity of the DNA-intercalating region of albicidins and their excellent performance against fluoroquinolone-resistant bacteria holds great promise for the development of last-resort antibiotics.","https://www.nature.com/articles/s41929-022-00904-1"
"natcatal","Electrocatalytic hydrogenation of alkenes with Pd/carbon nanotubes at an oil–water interface","Electrocatalytic hydrogenation (ECH) produces high-value chemicals from unsaturated organics using water as a hydrogen source. However, ECH is limited by the low solubility of substrates when operated under aqueous conditions, by electrical losses when performed in organic electrolytes and, in general, by low faradaic efficiency and fastidious work-up. Here, we show that a Pickering emulsion compartmenting organic substrates and aqueous electrolytes in different phases enables efficient ECH at the interface. We designed a construct comprising Pd nanoparticles immobilized on positively charged carbon nanotubes that localizes at the interface to act as both emulsion stabilizer and electrocatalyst. Applied to the ECH of styrene, the system delivers ethylbenzene at high faradaic efficiency (95.0%) and mass specific current density (–148.1 mA  \({{{\mathrm{mg}}}}_{{{{\mathrm{Pd}}}}}^{ - 1}\)). The system combines good substrate solubility, high conductivity and simplified product isolation, and has proved applicable to the conversion of various alkenes. This strategy may thus provide alternative solutions to the ECH of substrates with low water solubility, such as bio-oil and bio-crude.","https://www.nature.com/articles/s41929-022-00882-4"
"natcatal","On the origin of multihole oxygen evolution in haematite photoanodes","The oxygen evolution reaction (OER) plays a crucial role in (photo)electrochemical devices that use renewable energy to produce synthetic fuels. Recent measurements on semiconducting oxides have found a power law dependence of the OER rate on surface hole density, suggesting a multihole mechanism. In this study, using transient photocurrent measurements, density functional theory simulations and microkinetic modelling, we have uncovered the origin of this behaviour in haematite. We show here that the OER rate has a third-order dependence on the surface hole density. We propose a mechanism wherein the reaction proceeds by accumulating oxidizing equivalents through a sequence of one-electron oxidations of surface hydroxy groups. The key O–O bond formation step occurs by the dissociative chemisorption of a hydroxide ion involving three oxyl sites. At variance with the case of metallic oxides, the activation energy of this step is weakly dependent on the surface hole coverage, leading to the observed power law.","https://www.nature.com/articles/s41929-022-00845-9"
"natcatal","A kinetic descriptor for the electrolyte effect on the oxygen reduction kinetics on Pt(111)","Proton-exchange membrane fuel cells demand efficient electrode–electrolyte interfaces to catalyse the oxygen reduction reaction (ORR), the kinetics of which depends on the energetics of surface adsorption and on electrolyte environment. Here we show an unanticipated effect of non-specifically adsorbed anions on the ORR kinetics on a Pt(111) electrode; these trends do not follow the usual ORR descriptor, that is *OH binding energy. We propose a voltammetry-accessible descriptor, namely reversibility of the *O ↔ *OH transition. This descriptor tracks the dependence of ORR rates on electrolyte, including the concentration/identity of anions in acidic media, cations in alkaline media and the effect of ionomers. We propose a model that relates the ORR rate on Pt(111) to the rate of the *O to *OH transition, in addition to the thermodynamic *OH binding energy descriptor. Our model also rationalizes different trends for the ORR rate on stepped Pt surfaces in acidic versus alkaline media.","https://www.nature.com/articles/s41929-022-00810-6"
