Journal,Title,Abstract,URL
"natecolevol","Author Correction: Symbioses shape feeding niches and diversification across insects","Correction to: Nature Ecology& Evolution https://doi.org/10.1038/s41559-023-02058-0. Published online 18 May 2023.","https://www.nature.com/articles/s41559-023-02137-2"
"natecolevol","Genomes of fungi and relatives reveal delayed loss of ancestral gene families and evolution of key fungal traits","Fungi are ecologically important heterotrophs that have radiated into most niches on Earth and fulfil key ecological services. Despite intense interest in their origins, major genomic trends of their evolutionary route from a unicellular opisthokont ancestor to derived multicellular fungi remain poorly known. Here we provide a highly resolved genome-wide catalogue of gene family changes across fungal evolution inferred from the genomes of 123 fungi and relatives. We show that a dominant trend in early fungal evolution has been the gradual shedding of protist genes and the punctuated emergence of innovation by two main gene duplication events. We find that the gene content of non-Dikarya fungi resembles that of unicellular opisthokonts in many respects, owing to the conservation of protist genes in their genomes. The most rapidly duplicating gene groups included extracellular proteins and transcription factors, as well as ones linked to the coordination of nutrient uptake with growth, highlighting the transition to a sessile osmotrophic feeding strategy and subsequent lifestyle evolution as important elements of early fungal history. These results suggest that the genomes of pre-fungal ancestors evolved into the typical filamentous fungal genome by a combination of gradual gene loss, turnover and several large duplication events rather than by abrupt changes. Consequently, the taxonomically defined Fungi represents a genomically non-uniform assemblage of species.","https://www.nature.com/articles/s41559-023-02095-9"
"natecolevol","Biome-scale temperature sensitivity of ecosystem respiration revealed by atmospheric CO2 observations","The temperature sensitivity of ecosystem respiration regulates how the terrestrial carbon sink responds to a warming climate but has been difficult to constrain observationally beyond the plot scale. Here we use observations of atmospheric CO2 concentrations from a network of towers together with carbon flux estimates from state-of-the-art terrestrial biosphere models to characterize the temperature sensitivity of ecosystem respiration, as represented by the Arrhenius activation energy, over various North American biomes. We infer activation energies of 0.43 eV for North America and 0.38 eV to 0.53 eV for major biomes therein, which are substantially below those reported for plot-scale studies (approximately 0.65 eV). This discrepancy suggests that sparse plot-scale observations do not capture the spatial-scale dependence and biome specificity of the temperature sensitivity. We further show that adjusting the apparent temperature sensitivity in model estimates markedly improves their ability to represent observed atmospheric CO2 variability. This study provides observationally constrained estimates of the temperature sensitivity of ecosystem respiration directly at the biome scale and reveals that temperature sensitivities at this scale are lower than those based on earlier plot-scale studies. These findings call for additional work to assess the resilience of large-scale carbon sinks to warming.","https://www.nature.com/articles/s41559-023-02093-x"
"natecolevol","Extended embryo retention and viviparity in the first amniotes","The amniotic egg with its complex fetal membranes was a key innovation in vertebrate evolution that enabled the great diversification of reptiles, birds and mammals. It is debated whether these fetal membranes evolved in eggs on land as an adaptation to the terrestrial environment or to control antagonistic fetal-maternal interaction in association with extended embryo retention (EER). Here we report an oviparous choristodere from the Lower Cretaceous period of northeast China. The ossification sequence of the embryo confirms that choristoderes are basal archosauromorphs. The discovery of oviparity in this assumed viviparous extinct clade, together with existing evidence, suggests that EER was the primitive reproductive mode in basal archosauromorphs. Phylogenetic comparative analyses on extant and extinct amniotes suggest that the first amniote displayed EER (including viviparity).","https://www.nature.com/articles/s41559-023-02074-0"
"natecolevol","Y chromosome toxicity does not contribute to sex-specific differences in longevity","While sex chromosomes carry sex-determining genes, they also often differ from autosomes in size and composition, consisting mainly of silenced heterochromatic repetitive DNA. Even though Y chromosomes show structural heteromorphism, the functional significance of such differences remains elusive. Correlative studies suggest that the amount of Y chromosome heterochromatin might be responsible for several male-specific traits, including sex-specific differences in longevity observed across a wide spectrum of species, including humans. However, experimental models to test this hypothesis have been lacking. Here we use the Drosophila melanogaster Y chromosome to investigate the relevance of sex chromosome heterochromatin in somatic organs in vivo. Using CRISPR-Cas9, we generated a library of Y chromosomes with variable levels of heterochromatin. We show that these different Y chromosomes can disrupt gene silencing in trans, on other chromosomes, by sequestering core components of the heterochromatin machinery. This effect is positively correlated to the level of Y heterochromatin. However, we also find that the ability of the Y chromosome to affect genome-wide heterochromatin does not generate physiological sex differences, including sexual dimorphism in longevity. Instead, we discovered that it is the phenotypic sex, female or male, that controls sex-specific differences in lifespan, rather than the presence of a Y chromosome. Altogether, our findings dismiss the 'toxic Y' hypothesis that postulates that the Y chromosome leads to reduced lifespan in XY individuals.","https://www.nature.com/articles/s41559-023-02089-7"
"natecolevol","Biodiversity time series are biased towards increasing species richness in changing environments","The discrepancy between global loss and local constant species richness has led to debates over data quality, systematic biases in monitoring programmes and the adequacy of species richness to capture changes in biodiversity. We show that, more fundamentally, null expectations of stable richness can be wrong, despite independent yet equal colonization and extinction. We analysed fish and bird time series and found an overall richness increase. This increase reflects a systematic bias towards an earlier detection of colonizations than extinctions. To understand how much this bias influences richness trends, we simulated time series using a neutral model controlling for equilibrium richness and temporal autocorrelation (that is, no trend expected). These simulated time series showed significant changes in richness, highlighting the effect of temporal autocorrelation on the expected baseline for species richness changes. The finite nature of time series, the long persistence of declining populations and the potential strong dispersal limitation probably lead to richness changes when changing conditions promote compositional turnover. Temporal analyses of richness should incorporate this bias by considering appropriate neutral baselines for richness changes. Absence of richness trends over time, as previously reported, can actually reflect a negative deviation from the positive biodiversity trend expected by default.","https://www.nature.com/articles/s41559-023-02078-w"
"natecolevol","Evidence-based target setting informs blue carbon strategies for nationally determined contributions","The magnitude and pace of global climate change demand ambitious and effective implementation of nationally determined contributions (NDCs). Nature-based solutions present an efficient approach to achieving mitigation, adaptation and resilience goals. Yet few nations have quantified the diverse benefits of nature-based solutions to evaluate and select ecosystem targets for their NDCs. Here we report on Belize's pursuit of innovative, evidence-based target setting by accounting for multiple benefits of blue carbon strategies. Through quantification of carbon storage and sequestration and optimization of co-benefits, we explore time-bound targets and prioritize locations for mangrove protection and restoration. We find increases in carbon benefits with larger mangrove investments, while fisheries, tourism and coastal risk-reduction co-benefits grow initially and then plateau. We identify locations, currently lacking protected status, where prioritizing blue carbon strategies would provide the greatest delivery of co-benefits to communities. These findings informed Belize's updated NDCs to include an additional 12,000 ha of mangrove protection and 4,000 ha of mangrove restoration, respectively, by 2030. Our study serves as an example for the more than 150 other countries that have the opportunity to enhance greenhouse gas sequestration and climate adaptation by incorporating blue carbon strategies that provide multiple societal benefits into their NDCs.","https://www.nature.com/articles/s41559-023-02081-1"
"natecolevol","Climate co-benefits of tiger conservation","Biodiversity conservation is increasingly being recognized as an important co-benefit in climate change mitigation programmes that use nature-based climate solutions. However, the climate co-benefits of biodiversity conservation interventions, such as habitat protection and restoration, remain understudied. Here we estimate the forest carbon storage co-benefits of a national policy intervention for tiger (Panthera tigris) conservation in India. We used a synthetic control approach to model avoided forest loss and associated carbon emissions reductions in protected areas that underwent enhanced protection for tiger conservation. Over a third of the analysed reserves showed significant but mixed effects, where 24% of all reserves successfully reduced the rate of deforestation and the remaining 9% reported higher-than-expected forest loss. The policy had a net positive benefit with over 5,802 hectares of averted forest loss, corresponding to avoided emissions of 1.08 +/- 0.51 MtCO2 equivalent between 2007 and 2020. This translated to US$92.55 +/- 43.56 million in ecosystem services from the avoided social cost of emissions and potential revenue of US$6.24 +/- 2.94 million in carbon offsets. Our findings offer an approach to quantitatively track the carbon sequestration co-benefits of a species conservation strategy and thus help align the objectives of climate action and biodiversity conservation.","https://www.nature.com/articles/s41559-023-02069-x"
"natecolevol","Symbioses shape feeding niches and diversification across insects","For over 300 million years, insects have relied on symbiotic microbes for nutrition and defence. However, it is unclear whether specific ecological conditions have repeatedly favoured the evolution of symbioses, and how this has influenced insect diversification. Here, using data on 1,850 microbe-insect symbioses across 402 insect families, we found that symbionts have allowed insects to specialize on a range of nutrient-imbalanced diets, including phloem, blood and wood. Across diets, the only limiting nutrient consistently associated with the evolution of obligate symbiosis was B vitamins. The shift to new diets, facilitated by symbionts, had mixed consequences for insect diversification. In some cases, such as herbivory, it resulted in spectacular species proliferation. In other niches, such as strict blood feeding, diversification has been severely constrained. Symbioses therefore appear to solve widespread nutrient deficiencies for insects, but the consequences for insect diversification depend on the feeding niche that is invaded.","https://www.nature.com/articles/s41559-023-02058-0"
"natecolevol","Convergence of dominance and neglect in flying insect diversity","Most of arthropod biodiversity is unknown to science. Consequently, it has been unclear whether insect communities around the world are dominated by the same or different taxa. This question can be answered through standardized sampling of biodiversity followed by estimation of species diversity and community composition with DNA barcodes. Here this approach is applied to flying insects sampled by 39 Malaise traps placed in five biogeographic regions, eight countries and numerous habitats (>225,000 specimens belonging to >25,000 species in 458 families). We find that 20 insect families (10 belonging to Diptera) account for >50% of local species diversity regardless of clade age, continent, climatic region and habitat type. Consistent differences in family-level dominance explain two-thirds of variation in community composition despite massive levels of species turnover, with most species (>97%) in the top 20 families encountered at a single site only. Alarmingly, the same families that dominate insect diversity are 'dark taxa' in that they suffer from extreme taxonomic neglect, with little signs of increasing activities in recent years. Taxonomic neglect tends to increase with diversity and decrease with body size. Identifying and tackling the diversity of 'dark taxa' with scalable techniques emerge as urgent priorities in biodiversity science.","https://www.nature.com/articles/s41559-023-02066-0"
"natecolevol","A global phylogeny of butterflies reveals their evolutionary history, ancestral hosts and biogeographic origins","Butterflies are a diverse and charismatic insect group that are thought to have evolved with plants and dispersed throughout the world in response to key geological events. However, these hypotheses have not been extensively tested because a comprehensive phylogenetic framework and datasets for butterfly larval hosts and global distributions are lacking. We sequenced 391 genes from nearly 2,300 butterfly species, sampled from 90 countries and 28 specimen collections, to reconstruct a new phylogenomic tree of butterflies representing 92% of all genera. Our phylogeny has strong support for nearly all nodes and demonstrates that at least 36 butterfly tribes require reclassification. Divergence time analyses imply an origin ~100 million years ago for butterflies and indicate that all but one family were present before the K/Pg extinction event. We aggregated larval host datasets and global distribution records and found that butterflies are likely to have first fed on Fabaceae and originated in what is now the Americas. Soon after the Cretaceous Thermal Maximum, butterflies crossed Beringia and diversified in the Palaeotropics. Our results also reveal that most butterfly species are specialists that feed on only one larval host plant family. However, generalist butterflies that consume two or more plant families usually feed on closely related plants.","https://www.nature.com/articles/s41559-023-02041-9"
"natecolevol","Inadvertent human genomic bycatch and intentional capture raise beneficial applications and ethical concerns with environmental DNA","The field of environmental DNA (eDNA) is advancing rapidly, yet human eDNA applications remain underutilized and underconsidered. Broader adoption of eDNA analysis will produce many well-recognized benefits for pathogen surveillance, biodiversity monitoring, endangered and invasive species detection, and population genetics. Here we show that deep-sequencing-based eDNA approaches capture genomic information from humans (Homo sapiens) just as readily as that from the intended target species. We term this phenomenon human genetic bycatch (HGB). Additionally, high-quality human eDNA could be intentionally recovered from environmental substrates (water, sand and air), holding promise for beneficial medical, forensic and environmental applications. However, this also raises ethical dilemmas, from consent, privacy and surveillance to data ownership, requiring further consideration and potentially novel regulation. We present evidence that human eDNA is readily detectable from 'wildlife' environmental samples as human genetic bycatch, demonstrate that identifiable human DNA can be intentionally recovered from human-focused environmental sampling and discuss the translational and ethical implications of such findings.","https://www.nature.com/articles/s41559-023-02056-2"
"natecolevol","Incentives and barriers to private finance for forest and landscape restoration","Increased private finance can accelerate forest and landscape restoration globally. Here we conduct semi-structured interviews with asset managers, corporations and restoration finance experts to examine incentives and barriers to private restoration finance. Next, we assess what type of restoration projects and regions appeal to different private funders and how current financial barriers can be overcome. We show that market incentives for corporations include meeting net-emission-reduction commitments, impact and sustainable branding opportunities, and promotion of sustainability in supply chains. Conversely, asset managers face stronger barriers to investing in restoration as it is deemed a high-risk, unknown investment with low profitability. We find that investment finance biases towards restoration projects in low-risk areas and corporate finance towards areas with business presence. Both private finance types tend to omit projects focusing on natural regeneration. Through expanded and diversified markets for restoration benefits, strong public policy support and new financial instruments, private finance for restoration can be scaled for a wider variety of restoration projects in more diverse geographical contexts.","https://www.nature.com/articles/s41559-023-02037-5"
"natecolevol","Longstanding behavioural stability in West Africa extends to the Middle Pleistocene at Bargny, coastal Senegal","Middle Stone Age (MSA) technologies first appear in the archaeological records of northern, eastern and southern Africa during the Middle Pleistocene epoch. The absence of MSA sites from West Africa limits evaluation of shared behaviours across the continent during the late Middle Pleistocene and the diversity of subsequent regionalized trajectories. Here we present evidence for the late Middle Pleistocene MSA occupation of the West African littoral at Bargny, Senegal, dating to 150 thousand years ago. Palaeoecological evidence suggests that Bargny was a hydrological refugium during the MSA occupation, supporting estuarine conditions during Middle Pleistocene arid phases. The stone tool technology at Bargny presents characteristics widely shared across Africa in the late Middle Pleistocene but which remain uniquely stable in West Africa to the onset of the Holocene. We explore how the persistent habitability of West African environments, including mangroves, contributes to distinctly West African trajectories of behavioural stability.","https://www.nature.com/articles/s41559-023-02046-4"
"natecolevol","Great ape cognition is structured by stable cognitive abilities and predicted by developmental conditions","Great ape cognition is used as a reference point to specify the evolutionary origins of complex cognitive abilities, including in humans. This research often assumes that great ape cognition consists of cognitive abilities (traits) that account for stable differences between individuals, which change and develop in response to experience. Here, we test the validity of these assumptions by assessing repeatability of cognitive performance among captive great apes (Gorilla gorilla, Pongo abelii, Pan paniscus, Pan troglodytes) in five tasks covering a range of cognitive domains. We examine whether individual characteristics (age, group, test experience) or transient situational factors (life events, testing arrangements or sociality) influence cognitive performance. Our results show that task-level performance is generally stable over time; four of the five tasks were reliable measurement tools. Performance in the tasks was best explained by stable differences in cognitive abilities (traits) between individuals. Cognitive abilities were further correlated, suggesting shared cognitive processes. Finally, when predicting cognitive performance, we found stable individual characteristics to be more important than variables capturing transient experience. Taken together, this study shows that great ape cognition is structured by stable cognitive abilities that respond to different developmental conditions.","https://www.nature.com/articles/s41559-023-02050-8"
