Journal,Title,Abstract,URL
"natmetab","Targeting the TCA cycle can ameliorate widespread axonal energy deficiency in neuroinflammatory lesions","Inflammation in the central nervous system can impair the function of neuronal mitochondria and contributes to axon degeneration in the common neuroinflammatory disease multiple sclerosis (MS). Here we combine cell-type-specific mitochondrial proteomics with in vivo biosensor imaging to dissect how inflammation alters the molecular composition and functional capacity of neuronal mitochondria. We show that neuroinflammatory lesions in the mouse spinal cord cause widespread and persisting axonal ATP deficiency, which precedes mitochondrial oxidation and calcium overload. This axonal energy deficiency is associated with impaired electron transport chain function, but also an upstream imbalance of tricarboxylic acid (TCA) cycle enzymes, with several, including key rate-limiting, enzymes being depleted in neuronal mitochondria in experimental models and in MS lesions. Notably, viral overexpression of individual TCA enzymes can ameliorate the axonal energy deficits in neuroinflammatory lesions, suggesting that TCA cycle dysfunction in MS may be amendable to therapy.","https://www.nature.com/articles/s42255-023-00838-3"
"natmetab","Commensal bacteria weaken the intestinal barrier by suppressing epithelial neuropilin-1 and Hedgehog signaling","The gut microbiota influences intestinal barrier integrity through mechanisms that are incompletely understood. Here we show that the commensal microbiota weakens the intestinal barrier by suppressing epithelial neuropilin-1 (NRP1) and Hedgehog (Hh) signaling. Microbial colonization of germ-free mice dampens signaling of the intestinal Hh pathway through epithelial Toll-like receptor (TLR)-2, resulting in decreased epithelial NRP1 protein levels. Following activation via TLR2/TLR6, epithelial NRP1, a positive-feedback regulator of Hh signaling, is lysosomally degraded. Conversely, elevated epithelial NRP1 levels in germ-free mice are associated with a strengthened gut barrier. Functionally, intestinal epithelial cell-specific Nrp1 deficiency (Nrp1ΔIEC) results in decreased Hh pathway activity and a weakened gut barrier. In addition, Nrp1ΔIEC mice have a reduced density of capillary networks in their small intestinal villus structures. Collectively, our results reveal a role for the commensal microbiota and epithelial NRP1 signaling in the regulation of intestinal barrier function through postnatal control of Hh signaling.","https://www.nature.com/articles/s42255-023-00828-5"
"natmetab","Human resident liver myeloid cells protect against metabolic stress in obesity","Although multiple populations of macrophages have been described in the human liver, their function and turnover in patients with obesity at high risk of developing non-alcoholic fatty liver disease (NAFLD) and cirrhosis are currently unknown. Herein, we identify a specific human population of resident liver myeloid cells that protects against the metabolic impairment associated with obesity. By studying the turnover of liver myeloid cells in individuals undergoing liver transplantation, we find that liver myeloid cell turnover differs between humans and mice. Using single-cell techniques and flow cytometry, we determine that the proportion of the protective resident liver myeloid cells, denoted liver myeloid cells 2 (LM2), decreases during obesity. Functional validation approaches using human 2D and 3D cultures reveal that the presence of LM2 ameliorates the oxidative stress associated with obese conditions. Our study indicates that resident myeloid cells could be a therapeutic target to decrease the oxidative stress associated with NAFLD.","https://www.nature.com/articles/s42255-023-00834-7"
"natmetab","An ATP-sensitive phosphoketolase regulates carbon fixation in cyanobacteria","Regulation of CO2 fixation in cyanobacteria is important both for the organism and global carbon balance. Here we show that phosphoketolase in Synechococcus elongatus PCC7942 (SeXPK) possesses a distinct ATP-sensing mechanism, where a drop in ATP level allows SeXPK to divert precursors of the RuBisCO substrate away from the Calvin–Benson–Bassham cycle. Deleting the SeXPK gene increased CO2 fixation particularly during light–dark transitions. In high-density cultures, the Δxpk strain showed a 60% increase in carbon fixation and unexpectedly resulted in sucrose secretion without any pathway engineering. Using cryo-EM analysis, we discovered that these functions were enabled by a unique allosteric regulatory site involving two subunits jointly binding two ATP, which constantly suppresses the activity of SeXPK until the ATP level drops. This magnesium-independent ATP allosteric site is present in many species across all three domains of life, where it may also play important regulatory functions.","https://www.nature.com/articles/s42255-023-00831-w"
"natmetab","Wnt signaling preserves progenitor cell multipotency during adipose tissue development","Mesenchymal stem/progenitor cells are essential for tissue development and repair throughout life, but how they are maintained under chronic differentiation pressure is not known. Using single-cell transcriptomics of human progenitor cells we find that adipose differentiation stimuli elicit two cellular trajectories: one toward mature adipocytes and another toward a pool of non-differentiated cells that maintain progenitor characteristics. These cells are induced by transient Wnt pathway activation and express numerous extracellular matrix genes and are therefore named structural Wnt-regulated adipose tissue cells. We find that the genetic signature of structural Wnt-regulated adipose tissue cells is present in adult human adipose tissue and adipose tissue developed from human progenitor cells in mice. Our results suggest a mechanism whereby adipose differentiation occurs concurrently with the maintenance of a mesenchymal progenitor cell pool, ensuring tissue development, repair and appropriate metabolic control over the lifetime.","https://www.nature.com/articles/s42255-023-00813-y"
"natmetab","Adipogenic and SWAT cells separate from a common progenitor in human brown and white adipose depots","Adipocyte function is a major determinant of metabolic disease, warranting investigations of regulating mechanisms. We show at single-cell resolution that progenitor cells from four human brown and white adipose depots separate into two main cell fates, an adipogenic and a structural branch, developing from a common progenitor. The adipogenic gene signature contains mitochondrial activity genes, and associates with genome-wide association study traits for fat distribution. Based on an extracellular matrix and developmental gene signature, we name the structural branch of cells structural Wnt-regulated adipose tissue-resident (SWAT) cells. When stripped from adipogenic cells, SWAT cells display a multipotent phenotype by reverting towards progenitor state or differentiating into new adipogenic cells, dependent on media. Label transfer algorithms recapitulate the cell types in human adipose tissue datasets. In conclusion, we provide a differentiation map of human adipocytes and define the multipotent SWAT cell, providing a new perspective on adipose tissue regulation.","https://www.nature.com/articles/s42255-023-00820-z"
"natmetab","A multimodal atlas of tumour metabolism reveals the architecture of gene–metabolite covariation","Tumour metabolism is controlled by coordinated changes in metabolite abundance and gene expression, but simultaneous quantification of metabolites and transcripts in primary tissue is rare. To overcome this limitation and to study gene–metabolite covariation in cancer, we assemble the Cancer Atlas of Metabolic Profiles of metabolomic and transcriptomic data from 988 tumour and control specimens spanning 11 cancer types in published and newly generated datasets. Meta-analysis of the Cancer Atlas of Metabolic Profiles reveals two classes of gene–metabolite covariation that transcend cancer types. The first corresponds to gene–metabolite pairs engaged in direct enzyme–substrate interactions, identifying putative genes controlling metabolite pool sizes. A second class of gene–metabolite covariation represents a small number of hub metabolites, including quinolinate and nicotinamide adenine dinucleotide, which correlate to many genes specifically expressed in immune cell populations. These results provide evidence that gene–metabolite covariation in cellularly heterogeneous tissue arises, in part, from both mechanistic interactions between genes and metabolites, and from remodelling of the bulk metabolome in specific immune microenvironments.","https://www.nature.com/articles/s42255-023-00817-8"
"natmetab","Itaconic acid underpins hepatocyte lipid metabolism in non-alcoholic fatty liver disease in male mice","Itaconate, the product of the decarboxylation of cis-aconitate, regulates numerous biological processes. We and others have revealed itaconate as a regulator of fatty acid β-oxidation, generation of mitochondrial reactive oxygen species and the metabolic interplay between resident macrophages and tumors. In the present study, we show that itaconic acid is upregulated in human non-alcoholic steatohepatitis and a mouse model of non-alcoholic fatty liver disease. Male mice deficient in the gene responsible for itaconate production (immunoresponsive gene (Irg)-1) have exacerbated lipid accumulation in the liver, glucose and insulin intolerance and mesenteric fat deposition. Treatment of mice with the itaconate derivative, 4-octyl itaconate, reverses dyslipidemia associated with high-fat diet feeding. Mechanistically, itaconate treatment of primary hepatocytes reduces lipid accumulation and increases their oxidative phosphorylation in a manner dependent upon fatty acid oxidation. We propose a model whereby macrophage-derived itaconate acts in trans upon hepatocytes to modulate the liver’s ability to metabolize fatty acids.","https://www.nature.com/articles/s42255-023-00801-2"
"natmetab","The incretin co-agonist tirzepatide requires GIPR for hormone secretion from human islets","The incretins glucose-dependent insulinotropic polypeptide (GIP) and glucagon-like peptide 1 (GLP-1) mediate insulin responses that are proportionate to nutrient intake to facilitate glucose tolerance1. The GLP-1 receptor (GLP-1R) is an established drug target for the treatment of diabetes and obesity2, whereas the therapeutic potential of the GIP receptor (GIPR) is a subject of debate. Tirzepatide is an agonist at both the GIPR and GLP-1R and is a highly effective treatment for type 2 diabetes and obesity3,4. However, although tirzepatide activates GIPR in cell lines and mouse models, it is not clear whether or how dual agonism contributes to its therapeutic benefit. Islet beta cells express both the GLP-1R and the GIPR, and insulin secretion is an established mechanism by which incretin agonists improve glycemic control5. Here, we show that in mouse islets, tirzepatide stimulates insulin secretion predominantly through the GLP-1R, owing to reduced potency at the mouse GIPR. However, in human islets, antagonizing GIPR activity consistently decreases the insulin response to tirzepatide. Moreover, tirzepatide enhances glucagon secretion and somatostatin secretion in human islets. These data demonstrate that tirzepatide stimulates islet hormone secretion from human islets through both incretin receptors.","https://www.nature.com/articles/s42255-023-00811-0"
"natmetab","Induction of a torpor-like hypothermic and hypometabolic state in rodents by ultrasound","Torpor is an energy-conserving state in which animals dramatically decrease their metabolic rate and body temperature to survive harsh environmental conditions. Here, we report the noninvasive, precise and safe induction of a torpor-like hypothermic and hypometabolic state in rodents by remote transcranial ultrasound stimulation at the hypothalamus preoptic area (POA). We achieve a long-lasting (>24 h) torpor-like state in mice via closed-loop feedback control of ultrasound stimulation with automated detection of body temperature. Ultrasound-induced hypothermia and hypometabolism (UIH) is triggered by activation of POA neurons, involves the dorsomedial hypothalamus as a downstream brain region and subsequent inhibition of thermogenic brown adipose tissue. Single-nucleus RNA-sequencing of POA neurons reveals TRPM2 as an ultrasound-sensitive ion channel, the knockdown of which suppresses UIH. We also demonstrate that UIH is feasible in a non-torpid animal, the rat. Our findings establish UIH as a promising technology for the noninvasive and safe induction of a torpor-like state.","https://www.nature.com/articles/s42255-023-00804-z"
