Journal,Title,Abstract,URL
"nbt","Whole-body cellular mapping in mouse using standard IgG antibodies","Whole-body imaging techniques play a vital role in exploring the interplay of physiological systems in maintaining health and driving disease. We introduce wildDISCO, a new approach for whole-body immunolabeling, optical clearing and imaging in mice, circumventing the need for transgenic reporter animals or nanobody labeling and so overcoming existing technical limitations. We identified heptakis(2,6-di-O-methyl)-[beta]-cyclodextrin as a potent enhancer of cholesterol extraction and membrane permeabilization, enabling deep, homogeneous penetration of standard antibodies without aggregation. WildDISCO facilitates imaging of peripheral nervous systems, lymphatic vessels and immune cells in whole mice at cellular resolution by labeling diverse endogenous proteins. Additionally, we examined rare proliferating cells and the effects of biological perturbations, as demonstrated in germ-free mice. We applied wildDISCO to map tertiary lymphoid structures in the context of breast cancer, considering both primary tumor and metastases throughout the mouse body. An atlas of high-resolution images showcasing mouse nervous, lymphatic and vascular systems is accessible at http://discotechnologies.org/wildDISCO/atlas/index.php.","https://www.nature.com/articles/s41587-023-01846-0"
"nbt","De novo detection of somatic mutations in high-throughput single-cell profiling data sets","Characterization of somatic mutations at single-cell resolution is essential to study cancer evolution, clonal mosaicism and cell plasticity. Here, we describe SComatic, an algorithm designed for the detection of somatic mutations in single-cell transcriptomic and ATAC-seq (assay for transposase-accessible chromatin sequence) data sets directly without requiring matched bulk or single-cell DNA sequencing data. SComatic distinguishes somatic mutations from polymorphisms, RNA-editing events and artefacts using filters and statistical tests parameterized on non-neoplastic samples. Using >2.6 million single cells from 688 single-cell RNA-seq (scRNA-seq) and single-cell ATAC-seq (scATAC-seq) data sets spanning cancer and non-neoplastic samples, we show that SComatic detects mutations in single cells accurately, even in differentiated cells from polyclonal tissues that are not amenable to mutation detection using existing methods. Validated against matched genome sequencing and scRNA-seq data, SComatic achieves F1 scores between 0.6 and 0.7 across diverse data sets, in comparison to 0.2-0.4 for the second-best performing method. In summary, SComatic permits de novo mutational signature analysis, and the study of clonal heterogeneity and mutational burdens at single-cell resolution.","https://www.nature.com/articles/s41587-023-01863-z"
"nbt","Multifunctional microelectronic fibers enable wireless modulation of gut and brain neural circuits","Progress in understanding brain-viscera interoceptive signaling is hindered by a dearth of implantable devices suitable for probing both brain and peripheral organ neurophysiology during behavior. Here we describe multifunctional neural interfaces that combine the scalability and mechanical versatility of thermally drawn polymer-based fibers with the sophistication of microelectronic chips for organs as diverse as the brain and the gut. Our approach uses meters-long continuous fibers that can integrate light sources, electrodes, thermal sensors and microfluidic channels in a miniature footprint. Paired with custom-fabricated control modules, the fibers wirelessly deliver light for optogenetics and transfer data for physiological recording. We validate this technology by modulating the mesolimbic reward pathway in the mouse brain. We then apply the fibers in the anatomically challenging intestinal lumen and demonstrate wireless control of sensory epithelial cells that guide feeding behaviors. Finally, we show that optogenetic stimulation of vagal afferents from the intestinal lumen is sufficient to evoke a reward phenotype in untethered mice.","https://www.nature.com/articles/s41587-023-01833-5"
"nbt","Single-cell m6A mapping in vivo using picoMeRIP-seq","Current N6-methyladenosine (m6A) mapping methods need large amounts of RNA or are limited to cultured cells. Through optimized sample recovery and signal-to-noise ratio, we developed picogram-scale m6A RNA immunoprecipitation and sequencing (picoMeRIP-seq) for studying m6A in vivo in single cells and scarce cell types using standard laboratory equipment. We benchmark m6A mapping on titrations of poly(A) RNA and embryonic stem cells and in single zebrafish zygotes, mouse oocytes and embryos.","https://www.nature.com/articles/s41587-023-01831-7"
"nbt","High-throughput measurement of the content and properties of nano-sized bioparticles with single-particle profiler","We introduce a method, single-particle profiler, that provides single-particle information on the content and biophysical properties of thousands of particles in the size range 5-200 nm. We use our single-particle profiler to measure the messenger RNA encapsulation efficiency of lipid nanoparticles, the viral binding efficiencies of different nanobodies, and the biophysical heterogeneity of liposomes, lipoproteins, exosomes and viruses.","https://www.nature.com/articles/s41587-023-01825-5"
"nbt","Stabilized mosaic single-cell data integration using unshared features","Currently available single-cell omics technologies capture many unique features with different biological information content. Data integration aims to place cells, captured with different technologies, onto a common embedding to facilitate downstream analytical tasks. Current horizontal data integration techniques use a set of common features, thereby ignoring non-overlapping features and losing information. Here we introduce StabMap, a mosaic data integration technique that stabilizes mapping of single-cell data by exploiting the non-overlapping features. StabMap first infers a mosaic data topology based on shared features, then projects all cells onto supervised or unsupervised reference coordinates by traversing shortest paths along the topology. We show that StabMap performs well in various simulation contexts, facilitates 'multi-hop' mosaic data integration where some datasets do not share any features and enables the use of spatial gene expression features for mapping dissociated single-cell data onto a spatial transcriptomic reference.","https://www.nature.com/articles/s41587-023-01766-z"
"nbt","Sequencing by avidity enables high accuracy with low reagent consumption","We present avidity sequencing, a sequencing chemistry that separately optimizes the processes of stepping along a DNA template and that of identifying each nucleotide within the template. Nucleotide identification uses multivalent nucleotide ligands on dye-labeled cores to form polymerase-polymer-nucleotide complexes bound to clonal copies of DNA targets. These polymer-nucleotide substrates, termed avidites, decrease the required concentration of reporting nucleotides from micromolar to nanomolar and yield negligible dissociation rates. Avidity sequencing achieves high accuracy, with 96.2% and 85.4% of base calls having an average of one error per 1,000 and 10,000 base pairs, respectively. We show that the average error rate of avidity sequencing remained stable following a long homopolymer.","https://www.nature.com/articles/s41587-023-01750-7"
"nbt","Strand-selective base editing of human mitochondrial DNA using mitoBEs","A number of mitochondrial diseases in humans are caused by point mutations that could be corrected by base editors, but delivery of CRISPR guide RNAs into the mitochondria is difficult. In this study, we present mitochondrial DNA base editors (mitoBEs), which combine a transcription activator-like effector (TALE)-fused nickase and a deaminase for precise base editing in mitochondrial DNA. Combining mitochondria-localized, programmable TALE binding proteins with the nickase MutH or Nt.BspD6I(C) and either the single-stranded DNA-specific adenine deaminase TadA8e or the cytosine deaminase ABOBEC1 and UGI, we achieve A-to-G or C-to-T base editing with up to 77% efficiency and high specificity. We find that mitoBEs are DNA strand-selective mitochondrial base editors, with editing results more likely to be retained on the nonnicked DNA strand. Furthermore, we correct pathogenic mitochondrial DNA mutations in patient-derived cells by delivering mitoBEs encoded in circular RNAs. mitoBEs offer a precise, efficient DNA editing tool with broad applicability for therapy in mitochondrial genetic diseases.","https://www.nature.com/articles/s41587-023-01791-y"
"nbt","Author Correction: Deconvolution of clinical variance in CAR-T cell pharmacology and response","Correction to: Nature Biotechnology https://doi.org/10.1038/s41587-023-01687-x. Published online 27 February 2023.","https://www.nature.com/articles/s41587-023-01816-6"
"nbt","Fast and accurate protein structure search with Foldseek","As structure prediction methods are generating millions of publicly available protein structures, searching these databases is becoming a bottleneck. Foldseek aligns the structure of a query protein against a database by describing tertiary amino acid interactions within proteins as sequences over a structural alphabet. Foldseek decreases computation times by four to five orders of magnitude with 86%, 88% and 133% of the sensitivities of Dali, TM-align and CE, respectively.","https://www.nature.com/articles/s41587-023-01773-0"
