Journal,Title,Abstract,URL
"ncb","A placental model of SARS-CoV-2 infection reveals ACE2-dependent susceptibility and differentiation impairment in syncytiotrophoblasts","SARS-CoV-2 infection causes COVID-19. Several clinical reports have linked COVID-19 during pregnancy to negative birth outcomes and placentitis. However, the pathophysiological mechanisms underpinning SARS-CoV-2 infection during placentation and early pregnancy are not clear. Here, to shed light on this, we used induced trophoblast stem cells to generate an in vitro early placenta infection model. We identified that syncytiotrophoblasts could be infected through angiotensin-converting enzyme 2 (ACE2). Using a co-culture model of vertical transmission, we confirmed the ability of the virus to infect syncytiotrophoblasts through a previous endometrial cell infection. We further demonstrated transcriptional changes in infected syncytiotrophoblasts that led to impairment of cellular processes, reduced secretion of HCG hormone and morphological changes vital for syncytiotrophoblast function. Furthermore, different antibody strategies and antiviral drugs restore these impairments. In summary, we have established a scalable and tractable platform to study early placental cell types and highlighted its use in studying strategies to protect the placenta.","https://www.nature.com/articles/s41556-023-01182-0"
"ncb","The Troyer syndrome protein spartin mediates selective autophagy of lipid droplets","Lipid droplets (LDs) are crucial organelles for energy storage and lipid homeostasis. Autophagy of LDs is an important pathway for their catabolism, but the molecular mechanisms mediating LD degradation by selective autophagy (lipophagy) are unknown. Here we identify spartin as a receptor localizing to LDs and interacting with core autophagy machinery, and we show that spartin is required to deliver LDs to lysosomes for triglyceride mobilization. Mutations in SPART (encoding spartin) lead to Troyer syndrome, a form of complex hereditary spastic paraplegia1. Interfering with spartin function in cultured human neurons or murine brain neurons leads to LD and triglyceride accumulation. Our identification of spartin as a lipophagy receptor, thus, suggests that impaired LD turnover contributes to Troyer syndrome development.","https://www.nature.com/articles/s41556-023-01178-w"
"ncb","Class 3 PI3K coactivates the circadian clock to promote rhythmic de novo purine synthesis","Metabolic demands fluctuate rhythmically and rely on coordination between the circadian clock and nutrient-sensing signalling pathways, yet mechanisms of their interaction remain not fully understood. Surprisingly, we find that class 3 phosphatidylinositol-3-kinase (PI3K), known best for its essential role as a lipid kinase in endocytosis and lysosomal degradation by autophagy, has an overlooked nuclear function in gene transcription as a coactivator of the heterodimeric transcription factor and circadian driver Bmal1-Clock. Canonical pro-catabolic functions of class 3 PI3K in trafficking rely on the indispensable complex between the lipid kinase Vps34 and regulatory subunit Vps15. We demonstrate that although both subunits of class 3 PI3K interact with RNA polymerase II and co-localize with active transcription sites, exclusive loss of Vps15 in cells blunts the transcriptional activity of Bmal1-Clock. Thus, we establish non-redundancy between nuclear Vps34 and Vps15, reflected by the persistent nuclear pool of Vps15 in Vps34-depleted cells and the ability of Vps15 to coactivate Bmal1-Clock independently of its complex with Vps34. In physiology we find that Vps15 is required for metabolic rhythmicity in liver and, unexpectedly, it promotes pro-anabolic de novo purine nucleotide synthesis. We show that Vps15 activates the transcription of Ppat, a key enzyme for the production of inosine monophosphate, a central metabolic intermediate for purine synthesis. Finally, we demonstrate that in fasting, which represses clock transcriptional activity, Vps15 levels are decreased on the promoters of Bmal1 targets, Nr1d1 and Ppat. Our findings open avenues for establishing the complexity for nuclear class 3 PI3K signalling for temporal regulation of energy homeostasis.","https://www.nature.com/articles/s41556-023-01171-3"
"ncb","Dynamic de novo heterochromatin assembly and disassembly at replication forks ensures fork stability","Chromatin is dynamically reorganized when DNA replication forks are challenged. However, the process of epigenetic reorganization and its implication for fork stability is poorly understood. Here we discover a checkpoint-regulated cascade of chromatin signalling that activates the histone methyltransferase EHMT2/G9a to catalyse heterochromatin assembly at stressed replication forks. Using biochemical and single molecule chromatin fibre approaches, we show that G9a together with SUV39h1 induces chromatin compaction by accumulating the repressive modifications, H3K9me1/me2/me3, in the vicinity of stressed replication forks. This closed conformation is also favoured by the G9a-dependent exclusion of the H3K9-demethylase JMJD1A/KDM3A, which facilitates heterochromatin disassembly upon fork restart. Untimely heterochromatin disassembly from stressed forks by KDM3A enables PRIMPOL access, triggering single-stranded DNA gap formation and sensitizing cells towards chemotherapeutic drugs. These findings may help in explaining chemotherapy resistance and poor prognosis observed in patients with cancer displaying elevated levels of G9a/H3K9me3.","https://www.nature.com/articles/s41556-023-01167-z"
"ncb","Arf1 coordinates fatty acid metabolism and mitochondrial homeostasis","Lipid mobilization through fatty acid [beta]-oxidation is a central process essential for energy production during nutrient shortage. In yeast, this catabolic process starts in the peroxisome from where [beta]-oxidation products enter mitochondria and fuel the tricarboxylic acid cycle. Little is known about the physical and metabolic cooperation between these organelles. Here we found that expression of fatty acid transporters and of the rate-limiting enzyme involved in [beta]-oxidation is decreased in cells expressing a hyperactive mutant of the small GTPase Arf1, leading to an accumulation of fatty acids in lipid droplets. Consequently, mitochondria became fragmented and ATP synthesis decreased. Genetic and pharmacological depletion of fatty acids phenocopied the arf1 mutant mitochondrial phenotype. Although [beta]-oxidation occurs in both mitochondria and peroxisomes in mammals, Arf1's role in fatty acid metabolism is conserved. Together, our results indicate that Arf1 integrates metabolism into energy production by regulating fatty acid storage and utilization, and presumably organelle contact sites.","https://www.nature.com/articles/s41556-023-01180-2"
"ncb","Single-cell analysis reveals transcriptomic and epigenomic impacts on the maternal-fetal interface following SARS-CoV-2 infection","During pregnancy the maternal-fetal interface plays vital roles in fetal development. Its disruption is frequently found in pregnancy complications. Recent studies show increased incidences of adverse pregnancy outcomes in patients with COVID-19; however, the mechanism remains unclear. Here we analysed the molecular impacts of SARS-CoV-2 infection on the maternal-fetal interface. Generating bulk and single-nucleus transcriptomic and epigenomic profiles from patients with COVID-19 and control samples, we discovered aberrant immune activation and angiogenesis patterns in distinct cells from patients. Surprisingly, retrotransposons were also dysregulated in specific cell types. Notably, reduced enhancer activities of LTR8B elements were functionally linked to the downregulation of pregnancy-specific glycoprotein genes in syncytiotrophoblasts. Our findings revealed that SARS-CoV-2 infection induced substantial changes to the epigenome and transcriptome at the maternal-fetal interface, which may be associated with pregnancy complications.","https://www.nature.com/articles/s41556-023-01169-x"
"ncb","mTORC2-NDRG1-CDC42 axis couples fasting to mitochondrial fission","Fasting triggers diverse physiological adaptations including increases in circulating fatty acids and mitochondrial respiration to facilitate organismal survival. The mechanisms driving mitochondrial adaptations and respiratory sufficiency during fasting remain incompletely understood. Here we show that fasting or lipid availability stimulates mTORC2 activity. Activation of mTORC2 and phosphorylation of its downstream target NDRG1 at serine 336 sustains mitochondrial fission and respiratory sufficiency. Time-lapse imaging shows that NDRG1, but not the phosphorylation-deficient NDRG1Ser336Ala mutant, engages with mitochondria to facilitate fission in control cells, as well as in those lacking DRP1. Using proteomics, a small interfering RNA screen, and epistasis experiments, we show that mTORC2-phosphorylated NDRG1 cooperates with small GTPase CDC42 and effectors and regulators of CDC42 to orchestrate fission. Accordingly, RictorKO, NDRG1Ser336Ala mutants and Cdc42-deficient cells each display mitochondrial phenotypes reminiscent of fission failure. During nutrient surplus, mTOR complexes perform anabolic functions; however, paradoxical reactivation of mTORC2 during fasting unexpectedly drives mitochondrial fission and respiration.","https://www.nature.com/articles/s41556-023-01163-3"
"ncb","Lipid droplet-associated lncRNA LIPTER preserves cardiac lipid metabolism","Lipid droplets (LDs) are cellular organelles critical for lipid homeostasis, with intramyocyte LD accumulation implicated in metabolic disorder-associated heart diseases. Here we identify a human long non-coding RNA, Lipid-Droplet Transporter (LIPTER), essential for LD transport in human cardiomyocytes. LIPTER binds phosphatidic acid and phosphatidylinositol 4-phosphate on LD surface membranes and the MYH10 protein, connecting LDs to the MYH10-ACTIN cytoskeleton and facilitating LD transport. LIPTER and MYH10 deficiencies impair LD trafficking, mitochondrial function and survival of human induced pluripotent stem cell-derived cardiomyocytes. Conditional Myh10 deletion in mouse cardiomyocytes leads to LD accumulation, reduced fatty acid oxidation and compromised cardiac function. We identify NKX2.5 as the primary regulator of cardiomyocyte-specific LIPTER transcription. Notably, LIPTER transgenic expression mitigates cardiac lipotoxicity, preserves cardiac function and alleviates cardiomyopathies in high-fat-diet-fed and Leprdb/db mice. Our findings unveil a molecular connector role of LIPTER in intramyocyte LD transport, crucial for lipid metabolism of the human heart, and hold significant clinical implications for treating metabolic syndrome-associated heart diseases.","https://www.nature.com/articles/s41556-023-01162-4"
"ncb","Divergent metabolic programmes control two populations of MAIT cells that protect the lung","Although mucosal-associated invariant T (MAIT) cells provide rapid, innate-like responses, they are not pre-set, and memory-like responses have been described for MAIT cells following infections. The importance of metabolism for controlling these responses, however, is unknown. Here, following pulmonary immunization with a Salmonella vaccine strain, mouse MAIT cells expanded as separate CD127−Klrg1+ and CD127+Klrg1− antigen-adapted populations that differed in terms of their transcriptome, function and localization in lung tissue. These populations remained altered from steady state for months as stable, separate MAIT cell lineages with enhanced effector programmes and divergent metabolism. CD127+ MAIT cells engaged in an energetic, mitochondrial metabolic programme, which was critical for their maintenance and IL-17A synthesis. This programme was supported by high fatty acid uptake and mitochondrial oxidation and relied on highly polarized mitochondria and autophagy. After vaccination, CD127+ MAIT cells protected mice against Streptococcus pneumoniae infection. In contrast, Klrg1+ MAIT cells had dormant but ready-to-respond mitochondria and depended instead on Hif1a-driven glycolysis to survive and produce IFN-[gamma]. They responded antigen independently and participated in protection from influenza virus. These metabolic dependencies may enable tuning of memory-like MAIT cell responses for vaccination and immunotherapies.","https://www.nature.com/articles/s41556-023-01152-6"
"ncb","Author Correction: Stem cell-derived synthetic embryos self-assemble by exploiting cadherin codes and cortical tension","Correction to: Nature Cell Biology https://doi.org/10.1038/s41556-022-00984-y. Published online 13 September 2022.","https://www.nature.com/articles/s41556-023-01157-1"
