Journal,Title,Abstract,URL
"nchembio","Molecular basis for ubiquitin/Fubi cross-reactivity in USP16 and USP36","Ubiquitin and ubiquitin-like proteins typically use distinct machineries to facilitate diverse functions. The immunosuppressive ubiquitin-like protein Fubi is synthesized as an N-terminal fusion to a ribosomal protein (Fubi-S30). Its proteolytic maturation by the nucleolar deubiquitinase USP36 is strictly required for translationally competent ribosomes. What endows USP36 with this activity, how Fubi is recognized and whether other Fubi proteases exist are unclear. Here, we report a chemical tool kit that facilitated the discovery of dual ubiquitin/Fubi cleavage activity in USP16 in addition to USP36 by chemoproteomics. Crystal structures of USP36 complexed with Fubi and ubiquitin uncover its substrate recognition mechanism and explain how other deubiquitinases are restricted from Fubi. Furthermore, we introduce Fubi C-terminal hydrolase measurements and reveal a synergistic role of USP16 in Fubi-S30 maturation. Our data highlight how ubiquitin/Fubi specificity is achieved in a subset of human deubiquitinases and open the door to a systematic investigation of the Fubi system.","https://www.nature.com/articles/s41589-023-01388-1"
"nchembio","Engineering cellular communication between light-activated synthetic cells and bacteria","Gene-expressing compartments assembled from simple, modular parts, are a versatile platform for creating minimal synthetic cells with life-like functions. By incorporating gene regulatory motifs into their encapsulated DNA templates, in situ gene expression and, thereby, synthetic cell function can be controlled according to specific stimuli. In this work, cell-free protein synthesis within synthetic cells was controlled using light by encoding genes of interest on light-activated DNA templates. Light-activated DNA contained a photocleavable blockade within the T7 promoter region that tightly repressed transcription until the blocking groups were removed with ultraviolet light. In this way, synthetic cells were activated remotely, in a spatiotemporally controlled manner. By applying this strategy to the expression of an acyl homoserine lactone synthase, BjaI, quorum-sensing-based communication between synthetic cells and bacteria was controlled with light. This work provides a framework for the remote-controlled production and delivery of small molecules from nonliving matter to living matter, with applications in biology and medicine.","https://www.nature.com/articles/s41589-023-01374-7"
"nchembio","Discovery of VH domains that allosterically inhibit ENPP1","Ectodomain phosphatase/phosphodiesterase-1 (ENPP1) is overexpressed on cancer cells and functions as an innate immune checkpoint by hydrolyzing extracellular cyclic guanosine monophosphate adenosine monophosphate (cGAMP). Biologic inhibitors have not yet been reported and could have substantial therapeutic advantages over current small molecules because they can be recombinantly engineered into multifunctional formats and immunotherapies. Here we used phage and yeast display coupled with in cellulo evolution to generate variable heavy (VH) single-domain antibodies against ENPP1 and discovered a VH domain that allosterically inhibited the hydrolysis of cGAMP and adenosine triphosphate (ATP). We solved a 3.2 Å-resolution cryo-electron microscopy structure for the VH inhibitor complexed with ENPP1 that confirmed its new allosteric binding pose. Finally, we engineered the VH domain into multispecific formats and immunotherapies, including a bispecific fusion with an anti-PD-L1 checkpoint inhibitor that showed potent cellular activity.","https://www.nature.com/articles/s41589-023-01368-5"
"nchembio","An anti-biofilm cyclic peptide targets a secreted aminopeptidase from P. aeruginosa","Pseudomonas aeruginosa is an opportunistic pathogen that causes serious illness, especially in immunocompromised individuals. P. aeruginosa forms biofilms that contribute to growth and persistence in a wide range of environments. Here we investigated the aminopeptidase, P. aeruginosa aminopeptidase (PaAP) from P. aeruginosa, which is highly abundant in the biofilm matrix. PaAP is associated with biofilm development and contributes to nutrient recycling. We confirmed that post-translational processing was required for activation and PaAP is a promiscuous aminopeptidase acting on unstructured regions of peptides and proteins. Crystal structures of wild-type enzymes and variants revealed the mechanism of autoinhibition, whereby the C-terminal propeptide locks the protease-associated domain and the catalytic peptidase domain into a self-inhibited conformation. Inspired by this, we designed a highly potent small cyclic-peptide inhibitor that recapitulates the deleterious phenotype observed with a PaAP deletion variant in biofilm assays and present a path toward targeting secreted proteins in a biofilm context.","https://www.nature.com/articles/s41589-023-01373-8"
"nchembio","Direct stimulation of de novo nucleotide synthesis by O-GlcNAcylation","O-linked [beta]-N-acetyl glucosamine (O-GlcNAc) is at the crossroads of cellular metabolism, including glucose and glutamine; its dysregulation leads to molecular and pathological alterations that cause diseases. Here we report that O-GlcNAc directly regulates de novo nucleotide synthesis and nicotinamide adenine dinucleotide (NAD) production upon abnormal metabolic states. Phosphoribosyl pyrophosphate synthetase 1 (PRPS1), the key enzyme of the de novo nucleotide synthesis pathway, is O-GlcNAcylated by O-GlcNAc transferase (OGT), which triggers PRPS1 hexamer formation and relieves nucleotide product-mediated feedback inhibition, thereby boosting PRPS1 activity. PRPS1 O-GlcNAcylation blocked AMPK binding and inhibited AMPK-mediated PRPS1 phosphorylation. OGT still regulates PRPS1 activity in AMPK-deficient cells. Elevated PRPS1 O-GlcNAcylation promotes tumorigenesis and confers resistance to chemoradiotherapy in lung cancer. Furthermore, Arts-syndrome-associated PRPS1 R196W mutant exhibits decreased PRPS1 O-GlcNAcylation and activity. Together, our findings establish a direct connection among O-GlcNAc signals, de novo nucleotide synthesis and human diseases, including cancer and Arts syndrome.","https://www.nature.com/articles/s41589-023-01354-x"
"nchembio","A general method for the development of multicolor biosensors with large dynamic ranges","Fluorescent biosensors enable the study of cell physiology with spatiotemporal resolution; yet, most biosensors suffer from relatively low dynamic ranges. Here, we introduce a family of designed Förster resonance energy transfer (FRET) pairs with near-quantitative FRET efficiencies based on the reversible interaction of fluorescent proteins with a fluorescently labeled HaloTag. These FRET pairs enabled the straightforward design of biosensors for calcium, ATP and NAD+ with unprecedented dynamic ranges. The color of each of these biosensors can be readily tuned by changing either the fluorescent protein or the synthetic fluorophore, which enables simultaneous monitoring of free NAD+ in different subcellular compartments following genotoxic stress. Minimal modifications of these biosensors furthermore allow their readout to be switched to fluorescence intensity, fluorescence lifetime or bioluminescence. These FRET pairs thus establish a new concept for the development of highly sensitive and tunable biosensors.","https://www.nature.com/articles/s41589-023-01350-1"
"nchembio","A multi-enzyme machine polymerizes the Haemophilus influenzae type b capsule","Bacterial capsules have critical roles in host-pathogen interactions. They provide a protective envelope against host recognition, leading to immune evasion and bacterial survival. Here we define the capsule biosynthesis pathway of Haemophilus influenzae serotype b (Hib), a Gram-negative bacterium that causes severe infections in infants and children. Reconstitution of this pathway enabled the fermentation-free production of Hib vaccine antigens starting from widely available precursors and detailed characterization of the enzymatic machinery. The X-ray crystal structure of the capsule polymerase Bcs3 reveals a multi-enzyme machine adopting a basket-like shape that creates a protected environment for the synthesis of the complex Hib polymer. This architecture is commonly exploited for surface glycan synthesis by both Gram-negative and Gram-positive pathogens. Supported by biochemical studies and comprehensive 2D nuclear magnetic resonance, our data explain how the ribofuranosyltransferase CriT, the phosphatase CrpP, the ribitol-phosphate transferase CroT and a polymer-binding domain function as a unique multi-enzyme assembly.","https://www.nature.com/articles/s41589-023-01324-3"
"nchembio","Spontaneously established syntrophic yeast communities improve bioproduction","Nutritional codependence (syntrophy) has underexplored potential to improve biotechnological processes by using cooperating cell types. So far, design of yeast syntrophic communities has required extensive genetic manipulation, as the co-inoculation of most eukaryotic microbial auxotrophs does not result in cooperative growth. Here we employ high-throughput phenotypic screening to systematically test pairwise combinations of auxotrophic Saccharomyces cerevisiae deletion mutants. Although most coculture pairs do not enter syntrophic growth, we identify 49 pairs that spontaneously form syntrophic, synergistic communities. We characterized the stability and growth dynamics of nine cocultures and demonstrated that a pair of tryptophan auxotrophs grow by exchanging a pathway intermediate rather than end products. We then introduced a malonic semialdehyde biosynthesis pathway split between different pairs of auxotrophs, which resulted in increased production. Our results report the spontaneous formation of stable syntrophy in S. cerevisiae auxotrophs and illustrate the biotechnological potential of dividing labor in a cooperating intraspecies community.","https://www.nature.com/articles/s41589-023-01341-2"
"nchembio","Nonmonotone invasion landscape by noise-aware control of metastasis activator levels","A major pharmacological assumption is that lowering disease-promoting protein levels is generally beneficial. For example, inhibiting metastasis activator BACH1 is proposed to decrease cancer metastases. Testing such assumptions requires approaches to measure disease phenotypes while precisely adjusting disease-promoting protein levels. Here we developed a two-step strategy to integrate protein-level tuning, noise-aware synthetic gene circuits into a well-defined human genomic safe harbor locus. Unexpectedly, engineered MDA-MB-231 metastatic human breast cancer cells become more, then less and then more invasive as we tune BACH1 levels up, irrespective of the native BACH1. BACH1 expression shifts in invading cells, and expression of BACH1ʼs transcriptional targets confirm BACH1ʼs nonmonotone phenotypic and regulatory effects. Thus, chemical inhibition of BACH1 could have unwanted effects on invasion. Additionally, BACH1ʼs expression variability aids invasion at high BACH1 expression. Overall, precisely engineered, noise-aware protein-level control is necessary and important to unravel disease effects of genes to improve clinical drug efficacy.","https://www.nature.com/articles/s41589-023-01344-z"
"nchembio","Single-cell multi-omics in the medicinal plant Catharanthus roseus","Advances in omics technologies now permit the generation of highly contiguous genome assemblies, detection of transcripts and metabolites at the level of single cells and high-resolution determination of gene regulatory features. Here, using a complementary, multi-omics approach, we interrogated the monoterpene indole alkaloid (MIA) biosynthetic pathway in Catharanthus roseus, a source of leading anticancer drugs. We identified clusters of genes involved in MIA biosynthesis on the eight C. roseus chromosomes and extensive gene duplication of MIA pathway genes. Clustering was not limited to the linear genome, and through chromatin interaction data, MIA pathway genes were present within the same topologically associated domain, permitting the identification of a secologanin transporter. Single-cell RNA-sequencing revealed sequential cell-type-specific partitioning of the leaf MIA biosynthetic pathway that, when coupled with a single-cell metabolomics approach, permitted the identification of a reductase that yields the bis-indole alkaloid anhydrovinblastine. We also revealed cell-type-specific expression in the root MIA pathway.","https://www.nature.com/articles/s41589-023-01327-0"
