Journal,Title,Abstract,URL
"neuro","How coupled slow oscillations, spindles and ripples coordinate neuronal processing and communication during human sleep","Learning and plasticity rely on fine-tuned regulation of neuronal circuits during offline periods. An unresolved puzzle is how the sleeping brain, in the absence of external stimulation or conscious effort, coordinates neuronal firing rates (FRs) and communication within and across circuits to support synaptic and systems consolidation. Using intracranial electroencephalography combined with multiunit activity recordings from the human hippocampus and surrounding medial temporal lobe (MTL) areas, we show that, governed by slow oscillation (SO) up-states, sleep spindles set a timeframe for ripples to occur. This sequential coupling leads to a stepwise increase in (1) neuronal FRs, (2) short-latency cross-correlations among local neuronal assemblies and (3) cross-regional MTL interactions. Triggered by SOs and spindles, ripples thus establish optimal conditions for spike-timing-dependent plasticity and systems consolidation. These results unveil how the sequential coupling of specific sleep rhythms orchestrates neuronal processing and communication during human sleep.","https://www.nature.com/articles/s41593-023-01381-w"
"neuro","Heart failure-induced cognitive dysfunction is mediated by intracellular Ca2+ leak through ryanodine receptor type 2","Cognitive dysfunction (CD) in heart failure (HF) adversely affects treatment compliance and quality of life. Although ryanodine receptor type 2 (RyR2) has been linked to cardiac muscle dysfunction, its role in CD in HF remains unclear. Here, we show in hippocampal neurons from individuals and mice with HF that the RyR2/intracellular Ca2+ release channels were subjected to post-translational modification (PTM) and were leaky. RyR2 PTM included protein kinase A phosphorylation, oxidation, nitrosylation and depletion of the stabilizing subunit calstabin2. RyR2 PTM was caused by hyper-adrenergic signaling and activation of the transforming growth factor-beta pathway. HF mice treated with a RyR2 stabilizer drug (S107), beta blocker (propranolol) or transforming growth factor-beta inhibitor (SD-208), or genetically engineered mice resistant to RyR2 Ca2+ leak (RyR2-p.Ser2808Ala), were protected against HF-induced CD. Taken together, we propose that HF is a systemic illness driven by intracellular Ca2+ leak that includes cardiogenic dementia.","https://www.nature.com/articles/s41593-023-01377-6"
"neuro","Positron emission tomography and magnetic resonance imaging methods and datasets within the Dominantly Inherited Alzheimer Network (DIAN)","The Dominantly Inherited Alzheimer Network (DIAN) is an international collaboration studying autosomal dominant Alzheimer disease (ADAD). ADAD arises from mutations occurring in three genes. Offspring from ADAD families have a 50% chance of inheriting their familial mutation, so non-carrier siblings can be recruited for comparisons in case–control studies. The age of onset in ADAD is highly predictable within families, allowing researchers to estimate an individual’s point in the disease trajectory. These characteristics allow candidate AD biomarker measurements to be reliably mapped during the preclinical phase. Although ADAD represents a small proportion of AD cases, understanding neuroimaging-based changes that occur during the preclinical period may provide insight into early disease stages of ‘sporadic’ AD also. Additionally, this study provides rich data for research in healthy aging through inclusion of the non-carrier controls. Here we introduce the neuroimaging dataset collected and describe how this resource can be used by a range of researchers.","https://www.nature.com/articles/s41593-023-01359-8"
"neuro","Myelin insulation as a risk factor for axonal degeneration in autoimmune demyelinating disease","Axonal degeneration determines the clinical outcome of multiple sclerosis and is thought to result from exposure of denuded axons to immune-mediated damage. Therefore, myelin is widely considered to be a protective structure for axons in multiple sclerosis. Myelinated axons also depend on oligodendrocytes, which provide metabolic and structural support to the axonal compartment. Given that axonal pathology in multiple sclerosis is already visible at early disease stages, before overt demyelination, we reasoned that autoimmune inflammation may disrupt oligodendroglial support mechanisms and hence primarily affect axons insulated by myelin. Here, we studied axonal pathology as a function of myelination in human multiple sclerosis and mouse models of autoimmune encephalomyelitis with genetically altered myelination. We demonstrate that myelin ensheathment itself becomes detrimental for axonal survival and increases the risk of axons degenerating in an autoimmune environment. This challenges the view of myelin as a solely protective structure and suggests that axonal dependence on oligodendroglial support can become fatal when myelin is under inflammatory attack.","https://www.nature.com/articles/s41593-023-01366-9"
"neuro","Multi-level analysis of the gut–brain axis shows autism spectrum disorder-associated molecular and microbial profiles","Autism spectrum disorder (ASD) is a neurodevelopmental disorder characterized by heterogeneous cognitive, behavioral and communication impairments. Disruption of the gut–brain axis (GBA) has been implicated in ASD although with limited reproducibility across studies. In this study, we developed a Bayesian differential ranking algorithm to identify ASD-associated molecular and taxa profiles across 10 cross-sectional microbiome datasets and 15 other datasets, including dietary patterns, metabolomics, cytokine profiles and human brain gene expression profiles. We found a functional architecture along the GBA that correlates with heterogeneity of ASD phenotypes, and it is characterized by ASD-associated amino acid, carbohydrate and lipid profiles predominantly encoded by microbial species in the genera Prevotella, Bifidobacterium, Desulfovibrio and Bacteroides and correlates with brain gene expression changes, restrictive dietary patterns and pro-inflammatory cytokine profiles. The functional architecture revealed in age-matched and sex-matched cohorts is not present in sibling-matched cohorts. We also show a strong association between temporal changes in microbiome composition and ASD phenotypes. In summary, we propose a framework to leverage multi-omic datasets from well-defined cohorts and investigate how the GBA influences ASD.","https://www.nature.com/articles/s41593-023-01361-0"
"neuro","Esr1+ hypothalamic-habenula neurons shape aversive states","Excitatory projections from the lateral hypothalamic area (LHA) to the lateral habenula (LHb) drive aversive responses. We used patch-sequencing (Patch-seq) guided multimodal classification to define the structural and functional heterogeneity of the LHA–LHb pathway. Our classification identified six glutamatergic neuron types with unique electrophysiological properties, molecular profiles and projection patterns. We found that genetically defined LHA–LHb neurons signal distinct aspects of emotional or naturalistic behaviors, such as estrogen receptor 1-expressing (Esr1+) LHA–LHb neurons induce aversion, whereas neuropeptide Y-expressing (Npy+) LHA–LHb neurons control rearing behavior. Repeated optogenetic drive of Esr1+ LHA–LHb neurons induces a behaviorally persistent aversive state, and large-scale recordings showed a region-specific neural representation of the aversive signals in the prelimbic region of the prefrontal cortex. We further found that exposure to unpredictable mild shocks induced a sex-specific sensitivity to develop a stress state in female mice, which was associated with a specific shift in the intrinsic properties of bursting-type Esr1+ LHA–LHb neurons. In summary, we describe the diversity of LHA–LHb neuron types and provide evidence for the role of Esr1+ neurons in aversion and sexually dimorphic stress sensitivity.","https://www.nature.com/articles/s41593-023-01367-8"
"neuro","Control and coding of pupil size by hypothalamic orexin neurons","Brain orexin (hypocretin) neurons are implicated in sleep–wake switching and reward-seeking but their roles in rapid arousal dynamics and reward perception are unclear. Here, cell-specific stimulation, deletion and in vivo recordings revealed strong correlative and causal links between pupil dilation—a quantitative arousal marker—and orexin cell activity. Coding of arousal and reward was distributed across orexin cells, indicating that they specialize in rapid, multiplexed communication of momentary arousal and reward states.","https://www.nature.com/articles/s41593-023-01365-w"
"neuro","Gradients of neurotransmitter receptor expression in the macaque cortex","Dynamics and functions of neural circuits depend on interactions mediated by receptors. Therefore, a comprehensive map of receptor organization across cortical regions is needed. In this study, we used in vitro receptor autoradiography to measure the density of 14 neurotransmitter receptor types in 109 areas of macaque cortex. We integrated the receptor data with anatomical, genetic and functional connectivity data into a common cortical space. We uncovered a principal gradient of receptor expression per neuron. This aligns with the cortical hierarchy from sensory cortex to higher cognitive areas. A second gradient, driven by serotonin 5-HT1A receptors, peaks in the anterior cingulate, default mode and salience networks. We found a similar pattern of 5-HT1A expression in the human brain. Thus, the macaque may be a promising translational model of serotonergic processing and disorders. The receptor gradients may enable rapid, reliable information processing in sensory cortical areas and slow, flexible integration in higher cognitive areas.","https://www.nature.com/articles/s41593-023-01351-2"
"neuro","Psychedelics promote plasticity by directly binding to BDNF receptor TrkB","Psychedelics produce fast and persistent antidepressant effects and induce neuroplasticity resembling the effects of clinically approved antidepressants. We recently reported that pharmacologically diverse antidepressants, including fluoxetine and ketamine, act by binding to TrkB, the receptor for BDNF. Here we show that lysergic acid diethylamide (LSD) and psilocin directly bind to TrkB with affinities 1,000-fold higher than those for other antidepressants, and that psychedelics and antidepressants bind to distinct but partially overlapping sites within the transmembrane domain of TrkB dimers. The effects of psychedelics on neurotrophic signaling, plasticity and antidepressant-like behavior in mice depend on TrkB binding and promotion of endogenous BDNF signaling but are independent of serotonin 2A receptor (5-HT2A) activation, whereas LSD-induced head twitching is dependent on 5-HT2A and independent of TrkB binding. Our data confirm TrkB as a common primary target for antidepressants and suggest that high-affinity TrkB positive allosteric modulators lacking 5-HT2A activity may retain the antidepressant potential of psychedelics without hallucinogenic effects.","https://www.nature.com/articles/s41593-023-01316-5"
"neuro","Augmenting hippocampal–prefrontal neuronal synchrony during sleep enhances memory consolidation in humans","Memory consolidation during sleep is thought to depend on the coordinated interplay between cortical slow waves, thalamocortical sleep spindles and hippocampal ripples, but direct evidence is lacking. Here, we implemented real-time closed-loop deep brain stimulation in human prefrontal cortex during sleep and tested its effects on sleep electrophysiology and on overnight consolidation of declarative memory. Synchronizing the stimulation to the active phases of endogenous slow waves in the medial temporal lobe (MTL) enhanced sleep spindles, boosted locking of brain-wide neural spiking activity to MTL slow waves, and improved coupling between MTL ripples and thalamocortical oscillations. Furthermore, synchronized stimulation enhanced the accuracy of recognition memory. By contrast, identical stimulation without this precise time-locking was not associated with, and sometimes even degraded, these electrophysiological and behavioral effects. Notably, individual changes in memory accuracy were highly correlated with electrophysiological effects. Our results indicate that hippocampo–thalamocortical synchronization during sleep causally supports human memory consolidation.","https://www.nature.com/articles/s41593-023-01324-5"
