Journal,Title,Abstract,URL
"ni","Neoantigen-specific stem cell memory-like CD4+ T cells mediate CD8+ T cell-dependent immunotherapy of MHC class II-negative solid tumors","CD4+ T cells play key roles in a range of immune responses, either as direct effectors or through accessory cells, including CD8+ T lymphocytes. In cancer, neoantigen (NeoAg)-specific CD8+ T cells capable of direct tumor recognition have been extensively studied, whereas the role of NeoAg-specific CD4+ T cells is less well understood. We have characterized the murine CD4+ T cell response against a validated NeoAg (CLTCH129>Q) expressed by the MHC-II-deficient squamous cell carcinoma tumor model (SCC VII) at the level of single T cell receptor (TCR) clonotypes and in the setting of adoptive immunotherapy. We find that the natural CLTCH129>Q-specific repertoire is diverse and contains TCRs with distinct avidities as measured by tetramer-binding assays and CD4 dependence. Despite these differences, CD4+ T cells expressing high or moderate avidity TCRs undergo comparable in vivo proliferation to cross-presented antigen from growing tumors and drive similar levels of therapeutic immunity that is dependent on CD8+ T cells and CD40L signaling. Adoptive cellular therapy (ACT) with NeoAg-specific CD4+ T cells is most effective when TCR-engineered cells are differentiated ex vivo with IL-7 and IL-15 rather than IL-2 and this was associated with both increased expansion as well as the acquisition and stable maintenance of a T stem cell memory (TSCM)-like phenotype in tumor-draining lymph nodes (tdLNs). ACT with TSCM-like CD4+ T cells results in lower PD-1 expression by CD8+ T cells in the tumor microenvironment and an increased frequency of PD-1+CD8+ T cells in tdLNs. These findings illuminate the role of NeoAg-specific CD4+ T cells in mediating antitumor immunity via providing help to CD8+ T cells and highlight their therapeutic potential in ACT.","https://www.nature.com/articles/s41590-023-01543-9"
"ni","Lactation-associated macrophages exist in murine mammary tissue and human milk","Macrophages are involved in immune defense, organogenesis and tissue homeostasis. Macrophages contribute to the different phases of mammary gland remodeling during development, pregnancy and involution postlactation. Less is known about the dynamics of mammary gland macrophages in the lactation stage. Here, we describe a macrophage population present during lactation in mice. By multiparameter flow cytometry and single-cell RNA sequencing, we identified a lactation-induced CD11c+CX3CR1+Dectin-1+ macrophage population (liMac) that was distinct from the two resident F4/80hi and F4/80lo macrophage subsets present pregestationally. LiMacs were predominantly monocyte-derived and expanded by proliferation in situ concomitant with nursing. LiMacs developed independently of IL-34, but required CSF-1 signaling and were partly microbiota-dependent. Locally, they resided adjacent to the basal cells of the alveoli and extravasated into the milk. We found several macrophage subsets in human milk that resembled liMacs. Collectively, these findings reveal the emergence of unique macrophages in the mammary gland and milk during lactation.","https://www.nature.com/articles/s41590-023-01530-0"
"ni","SALL1 enforces microglia-specific DNA binding and function of SMADs to establish microglia identity","Spalt-like transcription factor 1 (SALL1) is a critical regulator of organogenesis and microglia identity. Here we demonstrate that disruption of a conserved microglia-specific super-enhancer interacting with the Sall1 promoter results in complete and specific loss of Sall1 expression in microglia. By determining the genomic binding sites of SALL1 and leveraging Sall1 enhancer knockout mice, we provide evidence for functional interactions between SALL1 and SMAD4 required for microglia-specific gene expression. SMAD4 binds directly to the Sall1 super-enhancer and is required for Sall1 expression, consistent with an evolutionarily conserved requirement of the TGF[beta] and SMAD homologs Dpp and Mad for cell-specific expression of Spalt in the Drosophila wing. Unexpectedly, SALL1 in turn promotes binding and function of SMAD4 at microglia-specific enhancers while simultaneously suppressing binding of SMAD4 to enhancers of genes that become inappropriately activated in enhancer knockout microglia, thereby enforcing microglia-specific functions of the TGF[beta]-SMAD signaling axis.","https://www.nature.com/articles/s41590-023-01528-8"
"ni","ChAdOx1 nCoV-19 (AZD1222) vaccine-induced Fc receptor binding tracks with differential susceptibility to COVID-19","Despite the success of COVID-19 vaccines, severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) variants of concern have emerged that can cause breakthrough infections. Although protection against severe disease has been largely preserved, the immunological mediators of protection in humans remain undefined. We performed a substudy on the ChAdOx1 nCoV-19 (AZD1222) vaccinees enrolled in a South African clinical trial. At peak immunogenicity, before infection, no differences were observed in immunoglobulin (Ig)G1-binding antibody titers; however, the vaccine induced different Fc-receptor-binding antibodies across groups. Vaccinees who resisted COVID-19 exclusively mounted Fc[gamma]R3B-binding antibodies. In contrast, enhanced IgA and IgG3, linked to enriched Fc[gamma]R2B binding, was observed in individuals who experienced breakthrough. Antibodies unable to bind to Fc[gamma]R3B led to immune complex clearance and resulted in inflammatory cascades. Differential antibody binding to Fc[gamma]R3B was linked to Fc-glycosylation differences in SARS-CoV-2-specific antibodies. These data potentially point to specific Fc[gamma]R3B-mediated antibody functional profiles as critical markers of immunity against COVID-19.","https://www.nature.com/articles/s41590-023-01513-1"
"ni","Defining blood-induced microglia functions in neurodegeneration through multiomic profiling","Blood protein extravasation through a disrupted blood-brain barrier and innate immune activation are hallmarks of neurological diseases and emerging therapeutic targets. However, how blood proteins polarize innate immune cells remains largely unknown. Here, we established an unbiased blood-innate immunity multiomic and genetic loss-of-function pipeline to define the transcriptome and global phosphoproteome of blood-induced innate immune polarization and its role in microglia neurotoxicity. Blood induced widespread microglial transcriptional changes, including changes involving oxidative stress and neurodegenerative genes. Comparative functional multiomics showed that blood proteins induce distinct receptor-mediated transcriptional programs in microglia and macrophages, such as redox, type I interferon and lymphocyte recruitment. Deletion of the blood coagulation factor fibrinogen largely reversed blood-induced microglia neurodegenerative signatures. Genetic elimination of the fibrinogen-binding motif to CD11b in Alzheimer's disease mice reduced microglial lipid metabolism and neurodegenerative signatures that were shared with autoimmune-driven neuroinflammation in multiple sclerosis mice. Our data provide an interactive resource for investigation of the immunology of blood proteins that could support therapeutic targeting of microglia activation by immune and vascular signals.","https://www.nature.com/articles/s41590-023-01522-0"
"ni","Drivers of heterogeneity in synovial fibroblasts in rheumatoid arthritis","Inflammation of non-barrier immunologically quiescent tissues is associated with a massive influx of blood-borne innate and adaptive immune cells. Cues from the latter are likely to alter and expand activated states of the resident cells. However, local communications between immigrant and resident cell types in human inflammatory disease remain poorly understood. Here, we explored drivers of fibroblast-like synoviocyte (FLS) heterogeneity in inflamed joints of patients with rheumatoid arthritis using paired single-cell RNA and ATAC sequencing, multiplexed imaging and spatial transcriptomics along with in vitro modeling of cell-extrinsic factor signaling. These analyses suggest that local exposures to myeloid and T cell-derived cytokines, TNF, IFN-[gamma], IL-1[beta] or lack thereof, drive four distinct FLS states some of which closely resemble fibroblast states in other disease-affected tissues including skin and colon. Our results highlight a role for concurrent, spatially distributed cytokine signaling within the inflamed synovium.","https://www.nature.com/articles/s41590-023-01527-9"
"ni","Robust and prototypical immune responses toward COVID-19 vaccine in First Nations peoples are impacted by comorbidities","High-risk groups, including Indigenous people, are at risk of severe COVID-19. Here we found that Australian First Nations peoples elicit effective immune responses to COVID-19 BNT162b2 vaccination, including neutralizing antibodies, receptor-binding domain (RBD) antibodies, SARS-CoV-2 spike-specific B cells, and CD4+ and CD8+ T cells. In First Nations participants, RBD IgG antibody titers were correlated with body mass index and negatively correlated with age. Reduced RBD antibodies, spike-specific B cells and follicular helper T cells were found in vaccinated participants with chronic conditions (diabetes, renal disease) and were strongly associated with altered glycosylation of IgG and increased interleukin-18 levels in the plasma. These immune perturbations were also found in non-Indigenous people with comorbidities, indicating that they were related to comorbidities rather than ethnicity. However, our study is of a great importance to First Nations peoples who have disproportionate rates of chronic comorbidities and provides evidence of robust immune responses after COVID-19 vaccination in Indigenous people.","https://www.nature.com/articles/s41590-023-01508-y"
"ni","Spatial dysregulation of T follicular helper cells impairs vaccine responses in aging","The magnitude and quality of the germinal center (GC) response decline with age, resulting in poor vaccine-induced immunity in older individuals. A functional GC requires the co-ordination of multiple cell types across time and space, in particular across its two functionally distinct compartments: the light and dark zones. In aged mice, there is CXCR4-mediated mislocalization of T follicular helper (TFH) cells to the dark zone and a compressed network of follicular dendritic cells (FDCs) in the light zone. Here we show that TFH cell localization is critical for the quality of the antibody response and for the expansion of the FDC network upon immunization. The smaller GC and compressed FDC network in aged mice were corrected by provision of TFH cells that colocalize with FDCs using CXCR5. This demonstrates that the age-dependent defects in the GC response are reversible and shows that TFH cells support stromal cell responses to vaccines.","https://www.nature.com/articles/s41590-023-01519-9"
"ni","PI16+ reticular cells in human palatine tonsils govern T cell activity in distinct subepithelial niches","Fibroblastic reticular cells (FRCs) direct the interaction and activation of immune cells in discrete microenvironments of lymphoid organs. Despite their important role in steering innate and adaptive immunity, the age- and inflammation-associated changes in the molecular identity and functional properties of human FRCs have remained largely unknown. Here, we show that human tonsillar FRCs undergo dynamic reprogramming during life and respond vigorously to inflammatory perturbation in comparison to other stromal cell types. The peptidase inhibitor 16 (PI16)-expressing reticular cell (PI16+ RC) subset of adult tonsils exhibited the strongest inflammation-associated structural remodeling. Interactome analysis combined with ex vivo and in vitro validation revealed that T cell activity within subepithelial niches is controlled by distinct molecular pathways during PI16+ RC-lymphocyte interaction. In sum, the topological and molecular definition of the human tonsillar stromal cell landscape reveals PI16+ RCs as a specialized FRC niche at the core of mucosal immune responses in the oropharynx.","https://www.nature.com/articles/s41590-023-01502-4"
"ni","Conserved stromal-immune cell circuits secure B cell homeostasis and function","B cell zone reticular cells (BRCs) form stable microenvironments that direct efficient humoral immunity with B cell priming and memory maintenance being orchestrated across lymphoid organs. However, a comprehensive understanding of systemic humoral immunity is hampered by the lack of knowledge of global BRC sustenance, function and major pathways controlling BRC-immune cell interactions. Here we dissected the BRC landscape and immune cell interactome in human and murine lymphoid organs. In addition to the major BRC subsets underpinning the follicle, including follicular dendritic cells, PI16+ RCs were present across organs and species. As well as BRC-produced niche factors, immune cell-driven BRC differentiation and activation programs governed the convergence of shared BRC subsets, overwriting tissue-specific gene signatures. Our data reveal that a canonical set of immune cell-provided cues enforce bidirectional signaling programs that sustain functional BRC niches across lymphoid organs and species, thereby securing efficient humoral immunity.","https://www.nature.com/articles/s41590-023-01503-3"
"ni","Author Correction: Parenteral BCG vaccine induces lung-resident memory macrophages and trained immunity via the gut-lung axis","Correction to: Nature Immunology https://doi.org/10.1038/s41590-022-01354-4. Published online 1 December 2022.","https://www.nature.com/articles/s41590-023-01525-x"
"ni","Conserved transcriptional connectivity of regulatory T cells in the tumor microenvironment informs new combination cancer therapy strategies","While regulatory T (Treg) cells are traditionally viewed as professional suppressors of antigen presenting cells and effector T cells in both autoimmunity and cancer, recent findings of distinct Treg cell functions in tissue maintenance suggest that their regulatory purview extends to a wider range of cells and is broader than previously assumed. To elucidate tumoral Treg cell 'connectivity' to diverse tumor-supporting accessory cell types, we explored immediate early changes in their single-cell transcriptomes upon punctual Treg cell depletion in experimental lung cancer and injury-induced inflammation. Before any notable T cell activation and inflammation, fibroblasts, endothelial and myeloid cells exhibited pronounced changes in their gene expression in both cancer and injury settings. Factor analysis revealed shared Treg cell-dependent gene programs, foremost, prominent upregulation of VEGF and CCR2 signaling-related genes upon Treg cell deprivation in either setting, as well as in Treg cell-poor versus Treg cell-rich human lung adenocarcinomas. Accordingly, punctual Treg cell depletion combined with short-term VEGF blockade showed markedly improved control of PD-1 blockade-resistant lung adenocarcinoma progression in mice compared to the corresponding monotherapies, highlighting a promising factor-based querying approach to elucidating new rational combination treatments of solid organ cancers.","https://www.nature.com/articles/s41590-023-01504-2"
"ni","Human memory B cells show plasticity and adopt multiple fates upon recall response to SARS-CoV-2","The B cell response to different pathogens uses tailored effector mechanisms and results in functionally specialized memory B (Bm) cell subsets, including CD21+ resting, CD21-CD27+ activated and CD21-CD27- Bm cells. The interrelatedness between these Bm cell subsets remains unknown. Here we showed that single severe acute respiratory syndrome coronavirus 2-specific Bm cell clones showed plasticity upon antigen rechallenge in previously exposed individuals. CD21- Bm cells were the predominant subsets during acute infection and early after severe acute respiratory syndrome coronavirus 2-specific immunization. At months 6 and 12 post-infection, CD21+ resting Bm cells were the major Bm cell subset in the circulation and were also detected in peripheral lymphoid organs, where they carried tissue residency markers. Tracking of individual B cell clones by B cell receptor sequencing revealed that previously fated Bm cell clones could redifferentiate upon antigen rechallenge into other Bm cell subsets, including CD21-CD27- Bm cells, demonstrating that single Bm cell clones can adopt functionally different trajectories.","https://www.nature.com/articles/s41590-023-01497-y"
"ni","Dynamic mitochondrial transcription and translation in B cells control germinal center entry and lymphomagenesis","Germinal center (GC) B cells undergo proliferation at very high rates in a hypoxic microenvironment but the cellular processes driving this are incompletely understood. Here we show that the mitochondria of GC B cells are highly dynamic, with significantly upregulated transcription and translation rates associated with the activity of transcription factor A, mitochondrial (TFAM). TFAM, while also necessary for normal B cell development, is required for entry of activated GC precursor B cells into the germinal center reaction; deletion of Tfam significantly impairs GC formation, function and output. Loss of TFAM in B cells compromises the actin cytoskeleton and impairs cellular motility of GC B cells in response to chemokine signaling, leading to their spatial disorganization. We show that B cell lymphoma substantially increases mitochondrial translation and that deletion of Tfam in B cells is protective against the development of lymphoma in a c-Myc transgenic mouse model. Finally, we show that pharmacological inhibition of mitochondrial transcription and translation inhibits growth of GC-derived human lymphoma cells and induces similar defects in the actin cytoskeleton.","https://www.nature.com/articles/s41590-023-01484-3"
