Journal,Title,Abstract,URL
"nm","CSF MTBR-tau243 is a specific biomarker of tau tangle pathology in Alzheimer’s disease","Aggregated insoluble tau is one of two defining features of Alzheimer’s disease. Because clinical symptoms are strongly correlated with tau aggregates, drug development and clinical diagnosis need cost-effective and accessible specific fluid biomarkers of tau aggregates; however, recent studies suggest that the fluid biomarkers currently available cannot specifically track tau aggregates. We show that the microtubule-binding region (MTBR) of tau containing the residue 243 (MTBR-tau243) is a new cerebrospinal fluid (CSF) biomarker specific for insoluble tau aggregates and compared it to multiple other phosphorylated tau measures (p-tau181, p-tau205, p-tau217 and p-tau231) in two independent cohorts (BioFINDER-2, n = 448; and Knight Alzheimer Disease Research Center, n = 219). MTBR-tau243 was most strongly associated with tau-positron emission tomography (PET) and cognition, whereas showing the lowest association with amyloid-PET. In combination with p-tau205, MTBR-tau243 explained most of the total variance in tau-PET burden (0.58 ≤ R2 ≤ 0.75) and the performance in predicting cognitive measures (0.34 ≤ R2 ≤ 0.48) approached that of tau-PET (0.44 ≤ R2 ≤ 0.52). MTBR-tau243 levels longitudinally increased with insoluble tau aggregates, unlike CSF p-tau species. CSF MTBR-tau243 is a specific biomarker of tau aggregate pathology, which may be utilized in interventional trials and in the diagnosis of patients. Based on these findings, we propose to revise the A/T/(N) criteria to include MTBR-tau243 as representing insoluble tau aggregates (‘T’).","https://www.nature.com/articles/s41591-023-02443-z"
"nm","Heat-related mortality in Europe during the summer of 2022","Over 70,000 excess deaths occurred in Europe during the summer of 2003. The resulting societal awareness led to the design and implementation of adaptation strategies to protect at-risk populations. We aimed to quantify heat-related mortality burden during the summer of 2022, the hottest season on record in Europe. We analyzed the Eurostat mortality database, which includes 45,184,044 counts of death from 823 contiguous regions in 35 European countries, representing the whole population of over 543 million people. We estimated 61,672 (95% confidence interval (CI) = 37,643–86,807) heat-related deaths in Europe between 30 May and 4 September 2022. Italy (18,010 deaths; 95% CI = 13,793–22,225), Spain (11,324; 95% CI = 7,908–14,880) and Germany (8,173; 95% CI = 5,374–11,018) had the highest summer heat-related mortality numbers, while Italy (295 deaths per million, 95% CI = 226–364), Greece (280, 95% CI = 201–355), Spain (237, 95% CI = 166–312) and Portugal (211, 95% CI = 162–255) had the highest heat-related mortality rates. Relative to population, we estimated 56% more heat-related deaths in women than men, with higher rates in men aged 0–64 (+41%) and 65–79 (+14%) years, and in women aged 80+ years (+27%). Our results call for a reevaluation and strengthening of existing heat surveillance platforms, prevention plans and long-term adaptation strategies.","https://www.nature.com/articles/s41591-023-02419-z"
"nm","SARS-CoV-2-specific immune responses and clinical outcomes after COVID-19 vaccination in patients with immune-suppressive disease","Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) immune responses and infection outcomes were evaluated in 2,686 patients with varying immune-suppressive disease states after administration of two Coronavirus Disease 2019 (COVID-19) vaccines. Overall, 255 of 2,204 (12%) patients failed to develop anti-spike antibodies, with an additional 600 of 2,204 (27%) patients generating low levels (<380 AU ml−1). Vaccine failure rates were highest in ANCA-associated vasculitis on rituximab (21/29, 72%), hemodialysis on immunosuppressive therapy (6/30, 20%) and solid organ transplant recipients (20/81, 25% and 141/458, 31%). SARS-CoV-2-specific T cell responses were detected in 513 of 580 (88%) patients, with lower T cell magnitude or proportion in hemodialysis, allogeneic hematopoietic stem cell transplantation and liver transplant recipients (versus healthy controls). Humoral responses against Omicron (BA.1) were reduced, although cross-reactive T cell responses were sustained in all participants for whom these data were available. BNT162b2 was associated with higher antibody but lower cellular responses compared to ChAdOx1 nCoV-19 vaccination. We report 474 SARS-CoV-2 infection episodes, including 48 individuals with hospitalization or death from COVID-19. Decreased magnitude of both the serological and the T cell response was associated with severe COVID-19. Overall, we identified clinical phenotypes that may benefit from targeted COVID-19 therapeutic strategies.","https://www.nature.com/articles/s41591-023-02414-4"
"nm","A multi-ancestry polygenic risk score improves risk prediction for coronary artery disease","Identification of individuals at highest risk of coronary artery disease (CAD)—ideally before onset—remains an important public health need. Prior studies have developed genome-wide polygenic scores to enable risk stratification, reflecting the substantial inherited component to CAD risk. Here we develop a new and significantly improved polygenic score for CAD, termed GPSMult, that incorporates genome-wide association data across five ancestries for CAD (>269,000 cases and >1,178,000 controls) and ten CAD risk factors. GPSMult strongly associated with prevalent CAD (odds ratio per standard deviation 2.14, 95% confidence interval 2.10–2.19, P < 0.001) in UK Biobank participants of European ancestry, identifying 20.0% of the population with 3-fold increased risk and conversely 13.9% with 3-fold decreased risk as compared with those in the middle quintile. GPSMult was also associated with incident CAD events (hazard ratio per standard deviation 1.73, 95% confidence interval 1.70–1.76, P < 0.001), identifying 3% of healthy individuals with risk of future CAD events equivalent to those with existing disease and significantly improving risk discrimination and reclassification. Across multiethnic, external validation datasets inclusive of 33,096, 124,467, 16,433 and 16,874 participants of African, European, Hispanic and South Asian ancestry, respectively, GPSMult demonstrated increased strength of associations across all ancestries and outperformed all available previously published CAD polygenic scores. These data contribute a new GPSMult for CAD to the field and provide a generalizable framework for how large-scale integration of genetic association data for CAD and related traits from diverse populations can meaningfully improve polygenic risk prediction.","https://www.nature.com/articles/s41591-023-02429-x"
"nm","Transcriptional signatures associated with persisting CD19 CAR-T cells in children with leukemia","In the context of relapsed and refractory childhood pre-B cell acute lymphoblastic leukemia (R/R B-ALL), CD19-targeting chimeric antigen receptor (CAR)-T cells often induce durable remissions, which requires the persistence of CAR-T cells. In this study, we systematically analyzed CD19 CAR-T cells of 10 children with R/R B-ALL enrolled in the CARPALL trial via high-throughput single-cell gene expression and T cell receptor sequencing of infusion products and serial blood and bone marrow samples up to 5 years after infusion. We show that long-lived CAR-T cells developed a CD4/CD8 double-negative phenotype with an exhausted-like memory state and distinct transcriptional signature. This persistence signature was dominant among circulating CAR-T cells in all children with a long-lived treatment response for which sequencing data were sufficient (4/4, 100%). The signature was also present across T cell subsets and clonotypes, indicating that persisting CAR-T cells converge transcriptionally. This persistence signature was also detected in two adult patients with chronic lymphocytic leukemia with decade-long remissions who received a different CD19 CAR-T cell product. Examination of single T cell transcriptomes from a wide range of healthy and diseased tissues across children and adults indicated that the persistence signature may be specific to long-lived CAR-T cells. These findings raise the possibility that a universal transcriptional signature of clinically effective, persistent CD19 CAR-T cells exists.","https://www.nature.com/articles/s41591-023-02415-3"
"nm","A prognostic risk score for development and spread of chronic pain","Chronic pain is a complex condition influenced by a combination of biological, psychological and social factors. Using data from the UK Biobank (n = 493,211), we showed that pain spreads from proximal to distal sites and developed a biopsychosocial model that predicted the number of coexisting pain sites. This data-driven model was used to identify a risk score that classified various chronic pain conditions (area under the curve (AUC) 0.70–0.88) and pain-related medical conditions (AUC 0.67–0.86). In longitudinal analyses, the risk score predicted the development of widespread chronic pain, the spreading of chronic pain across body sites and high-impact pain about 9 years later (AUC 0.68–0.78). Key risk factors included sleeplessness, feeling ‘fed-up’, tiredness, stressful life events and a body mass index >30. A simplified version of this score, named the risk of pain spreading, obtained similar predictive performance based on six simple questions with binarized answers. The risk of pain spreading was then validated in the Northern Finland Birth Cohort (n = 5,525) and the PREVENT-AD cohort (n = 178), obtaining comparable predictive performance. Our findings show that chronic pain conditions can be predicted from a common set of biopsychosocial factors, which can aid in tailoring research protocols, optimizing patient randomization in clinical trials and improving pain management.","https://www.nature.com/articles/s41591-023-02430-4"
"nm","Author Correction: Vorasidenib and ivosidenib in IDH1-mutant low-grade glioma: a randomized, perioperative phase 1 trial","Correction to: Nature Medicine https://doi.org/10.1038/s41591-022-02141-2. Published online 23 February 2023.","https://www.nature.com/articles/s41591-023-02473-7"
"nm","Machine learning for ECG diagnosis and risk stratification of occlusion myocardial infarction","Patients with occlusion myocardial infarction (OMI) and no ST-elevation on presenting electrocardiogram (ECG) are increasing in numbers. These patients have a poor prognosis and would benefit from immediate reperfusion therapy, but, currently, there are no accurate tools to identify them during initial triage. Here we report, to our knowledge, the first observational cohort study to develop machine learning models for the ECG diagnosis of OMI. Using 7,313 consecutive patients from multiple clinical sites, we derived and externally validated an intelligent model that outperformed practicing clinicians and other widely used commercial interpretation systems, substantially boosting both precision and sensitivity. Our derived OMI risk score provided enhanced rule-in and rule-out accuracy relevant to routine care, and, when combined with the clinical judgment of trained emergency personnel, it helped correctly reclassify one in three patients with chest pain. ECG features driving our models were validated by clinical experts, providing plausible mechanistic links to myocardial injury.","https://www.nature.com/articles/s41591-023-02396-3"
"nm","Phenotypic effects of genetic variants associated with autism","While over 100 genes have been associated with autism, little is known about the prevalence of variants affecting them in individuals without a diagnosis of autism. Nor do we fully appreciate the phenotypic diversity beyond the formal autism diagnosis. Based on data from more than 13,000 individuals with autism and 210,000 undiagnosed individuals, we estimated the odds ratios for autism associated to rare loss-of-function (LoF) variants in 185 genes associated with autism, alongside 2,492 genes displaying intolerance to LoF variants. In contrast to autism-centric approaches, we investigated the correlates of these variants in individuals without a diagnosis of autism. We show that these variants are associated with a small but significant decrease in fluid intelligence, qualification level and income and an increase in metrics related to material deprivation. These effects were larger for autism-associated genes than in other LoF-intolerant genes. Using brain imaging data from 21,040 individuals from the UK Biobank, we could not detect significant differences in the overall brain anatomy between LoF carriers and non-carriers. Our results highlight the importance of studying the effect of the genetic variants beyond categorical diagnosis and the need for more research to understand the association between these variants and sociodemographic factors, to best support individuals carrying these variants.","https://www.nature.com/articles/s41591-023-02408-2"
"nm","The FGF21 analog pegozafermin in severe hypertriglyceridemia: a randomized phase 2 trial","Pegozafermin, a long-acting glycopegylated analog of human fibroblast growth factor 21, is in development for the treatment of severe hypertriglyceridemia (SHTG) and nonalcoholic steatohepatitis. Here we report the results of a phase 2, double-blind, randomized, five-arm trial testing pegozafermin at four different doses (n = 67; 52 male) versus placebo (n = 18; 12 male) for 8 weeks in patients with SHTG (triglycerides (TGs), ≥500 mg dl−1 and ≤2,000 mg dl−1). Treated patients showed a significant reduction in median TGs for the pooled pegozafermin group versus placebo (57.3% versus 11.9%, difference versus placebo −43.7%, 95% confidence interval (CI): −57.1%, −30.3%; P < 0.001), meeting the primary endpoint of the trial. Reductions in median TGs ranged from 36.4% to 63.4% across all treatment arms and were consistent regardless of background lipid-lowering therapy. Results for secondary endpoints included significant decreases in mean apolipoprotein B and non-high-density lipoprotein cholesterol concentrations (−10.5% and −18.3% for pooled doses compared to 1.1% and −0.6% for placebo (95% CI: −21.5%, −2.0%; P = 0.019 and 95% CI: −30.7%, −5.1%; P = 0.007, respectively), as well as a significant decrease in liver fat fraction for pooled treatment (n = 17) versus placebo (n = 6; −42.2% pooled pegozafermin, −8.3% placebo; 95% CI: −60.9%, −8.7%; P = 0.012), as assessed in a magnetic resonance imaging sub-study. No serious adverse events were observed to be related to the study drug. If these results are confirmed in a phase 3 trial, pegozafermin could be a promising treatment for SHTG (ClinicalTrials.gov registration: NCT0441186).","https://www.nature.com/articles/s41591-023-02427-z"
