Journal,Title,Abstract,URL
"nmicrobiol","Enrichment and characterization of a nitric oxide-reducing microbial community in a continuous bioreactor","Nitric oxide (NO) is a highly reactive and climate-active molecule and a key intermediate in the microbial nitrogen cycle. Despite its role in the evolution of denitrification and aerobic respiration, high redox potential and capacity to sustain microbial growth, our understanding of NO-reducing microorganisms remains limited due to the absence of NO-reducing microbial cultures obtained directly from the environment using NO as a substrate. Here, using a continuous bioreactor and a constant supply of NO as the sole electron acceptor, we enriched and characterized a microbial community dominated by two previously unknown microorganisms that grow at nanomolar NO concentrations and survive high amounts (>6 µM) of this toxic gas, reducing it to N2 with little to non-detectable production of the greenhouse gas nitrous oxide. These results provide insight into the physiology of NO-reducing microorganisms, which have pivotal roles in the control of climate-active gases, waste removal, and evolution of nitrate and oxygen respiration.","https://www.nature.com/articles/s41564-023-01425-8"
"nmicrobiol","Parabacteroides distasonis uses dietary inulin to suppress NASH via its metabolite pentadecanoic acid","Non-alcoholic steatohepatitis (NASH) is the severe form of non-alcoholic fatty liver disease, and is characterized by liver inflammation and fat accumulation. Dietary interventions, such as fibre, have been shown to alleviate this metabolic disorder in mice via the gut microbiota. Here, we investigated the mechanistic role of the gut microbiota in ameliorating NASH via dietary fibre in mice. Soluble fibre inulin was found to be more effective than insoluble fibre cellulose to suppress NASH progression in mice, as shown by reduced hepatic steatosis, necro-inflammation, ballooning and fibrosis. We employed stable isotope probing to trace the incorporation of 13C-inulin into gut bacterial genomes and metabolites during NASH progression. Shotgun metagenome sequencing revealed that the commensal Parabacteroides distasonis was enriched by 13C-inulin. Integration of 13C-inulin metagenomes and metabolomes suggested that P. distasonis used inulin to produce pentadecanoic acid, an odd-chain fatty acid, which was confirmed in vitro and in germ-free mice. P. distasonis or pentadecanoic acid was protective against NASH in mice. Mechanistically, inulin, P. distasonis or pentadecanoic acid restored gut barrier function in NASH models, which reduced serum lipopolysaccharide and liver pro-inflammatory cytokine expression. Overall this shows that gut microbiota members can use dietary fibre to generate beneficial metabolites to suppress metabolic disease.","https://www.nature.com/articles/s41564-023-01418-7"
"nmicrobiol","d-amino acids signal a stress-dependent run-away response in Vibrio cholerae","To explore favourable niches while avoiding threats, many bacteria use a chemotaxis navigation system. Despite decades of studies on chemotaxis, most signals and sensory proteins are still unknown. Many bacterial species release d-amino acids to the environment; however, their function remains largely unrecognized. Here we reveal that d-arginine and d-lysine are chemotactic repellent signals for the cholera pathogen Vibrio cholerae. These d-amino acids are sensed by a single chemoreceptor MCPDRK co-transcribed with the racemase enzyme that synthesizes them under the control of the stress-response sigma factor RpoS. Structural characterization of this chemoreceptor bound to either d-arginine or d-lysine allowed us to pinpoint the residues defining its specificity. Interestingly, the specificity for these d-amino acids appears to be restricted to those MCPDRK orthologues transcriptionally linked to the racemase. Our results suggest that d-amino acids can shape the biodiversity and structure of complex microbial communities under adverse conditions.","https://www.nature.com/articles/s41564-023-01419-6"
"nmicrobiol","Modelling viral encephalitis caused by herpes simplex virus 1 infection in cerebral organoids","Herpes simplex encephalitis is a life-threatening disease of the central nervous system caused by herpes simplex viruses (HSVs). Following standard of care with antiviral acyclovir treatment, most patients still experience various neurological sequelae. Here we characterize HSV-1 infection of human brain organoids by combining single-cell RNA sequencing, electrophysiology and immunostaining. We observed strong perturbations of tissue integrity, neuronal function and cellular transcriptomes. Under acyclovir treatment viral replication was stopped, but did not prevent HSV-1-driven defects such as damage of neuronal processes and neuroepithelium. Unbiased analysis of pathways deregulated upon infection revealed tumour necrosis factor activation as a potential causal factor. Combination of anti-inflammatory drugs such as necrostatin-1 or bardoxolone methyl with antiviral treatment prevented the damages caused by infection, indicating that tuning the inflammatory response in acute infection may improve current therapeutic strategies.","https://www.nature.com/articles/s41564-023-01405-y"
"nmicrobiol","Streptomyces polyketides mediate bacteria-fungi interactions across soil environments","Although the interaction between prokaryotic and eukaryotic microorganisms is crucial for the functioning of ecosystems, information about the processes driving microbial interactions within communities remains scarce. Here we show that arginine-derived polyketides (arginoketides) produced by Streptomyces species mediate cross-kingdom microbial interactions with fungi of the genera Aspergillus and Penicillium, and trigger the production of natural products. Arginoketides can be cyclic or linear, and a prominent example is azalomycin F produced by Streptomyces iranensis, which induces the cryptic orsellinic acid gene cluster in Aspergillus nidulans. Bacteria that synthesize arginoketides and fungi that decode and respond to this signal were co-isolated from the same soil sample. Genome analyses and a literature search indicate that arginoketide producers are found worldwide. Because, in addition to their direct impact, arginoketides induce a secondary wave of fungal natural products, they probably contribute to the wider structure and functioning of entire soil microbial communities.","https://www.nature.com/articles/s41564-023-01382-2"
"nmicrobiol","Mechanistic basis for potent neutralization of Sin Nombre hantavirus by a human monoclonal antibody","Rodent-borne hantaviruses are prevalent worldwide and upon spillover to human populations, cause severe disease for which no specific treatment is available. A potent antibody response is key for recovery from hantavirus infection. Here we study a highly neutralizing human monoclonal antibody, termed SNV-42, which was derived from a memory B cell isolated from an individual with previous Sin Nombre virus (SNV) infection. Crystallographic analysis demonstrates that SNV-42 targets the Gn subcomponent of the tetrameric (Gn−Gc)4 glycoprotein assembly that is relevant for viral entry. Integration of our 1.8 Å structure with the (Gn−Gc)4 ultrastructure arrangement indicates that SNV-42 targets the membrane-distal region of the virus envelope. Comparison of the SNV-42 paratope encoding variable genes with inferred germline gene segments reveals high sequence conservation, suggesting that germline-encoded antibodies inhibit SNV. Furthermore, mechanistic assays reveal that SNV-42 interferes with both receptor recognition and fusion during host-cell entry. This work provides a molecular-level blueprint for understanding the human neutralizing antibody response to hantavirus infection.","https://www.nature.com/articles/s41564-023-01413-y"
"nmicrobiol","Assimilatory sulfate reduction in the marine methanogen Methanothermococcus thermolithotrophicus","Methanothermococcus thermolithotrophicus is the only known methanogen that grows on sulfate as its sole sulfur source, uniquely uniting methanogenesis and sulfate reduction. Here we use physiological, biochemical and structural analyses to provide a snapshot of the complete sulfate reduction pathway of this methanogenic archaeon. We find that later steps in this pathway are catalysed by atypical enzymes. PAPS (3'-phosphoadenosine 5'-phosphosulfate) released by APS kinase is converted into sulfite and 3'-phosphoadenosine 5'-phosphate (PAP) by a PAPS reductase that is similar to the APS reductases of dissimilatory sulfate reduction. A non-canonical PAP phosphatase then hydrolyses PAP. Finally, the F420-dependent sulfite reductase converts sulfite to sulfide for cellular assimilation. While metagenomic and metatranscriptomic studies suggest that the sulfate reduction pathway is present in several methanogens, the sulfate assimilation pathway in M. thermolithotrophicus is distinct. We propose that this pathway was 'mix-and-matched' through the acquisition of assimilatory and dissimilatory enzymes from other microorganisms and then repurposed to fill a unique metabolic role.","https://www.nature.com/articles/s41564-023-01398-8"
"nmicrobiol","Candidatus Alkanophaga archaea from Guaymas Basin hydrothermal vent sediment oxidize petroleum alkanes","Methanogenic and methanotrophic archaea produce and consume the greenhouse gas methane, respectively, using the reversible enzyme methyl-coenzyme M reductase (Mcr). Recently, Mcr variants that can activate multicarbon alkanes have been recovered from archaeal enrichment cultures. These enzymes, called alkyl-coenzyme M reductase (Acrs), are widespread in the environment but remain poorly understood. Here we produced anoxic cultures degrading mid-chain petroleum n-alkanes between pentane (C5) and tetradecane (C14) at 70  degreesC using oil-rich Guaymas Basin sediments. In these cultures, archaea of the genus Candidatus Alkanophaga activate the alkanes with Acrs and completely oxidize the alkyl groups to CO2. Ca. Alkanophaga form a deep-branching sister clade to the methanotrophs ANME-1 and are closely related to the short-chain alkane oxidizers Ca. Syntrophoarchaeum. Incapable of sulfate reduction, Ca. Alkanophaga shuttle electrons released from alkane oxidation to the sulfate-reducing Ca. Thermodesulfobacterium syntrophicum. These syntrophic consortia are potential key players in petroleum degradation in heated oil reservoirs.","https://www.nature.com/articles/s41564-023-01400-3"
"nmicrobiol","Coronavirus sampling and surveillance in bats from 1996-2019: a systematic review and meta-analysis","The emergence of SARS-CoV-2 highlights a need for evidence-based strategies to monitor bat viruses. We performed a systematic review of coronavirus sampling (testing for RNA positivity) in bats globally. We identified 110 studies published between 2005 and 2020 that collectively reported positivity from 89,752 bat samples. We compiled 2,274 records of infection prevalence at the finest methodological, spatiotemporal and phylogenetic level of detail possible from public records into an open, static database named datacov, together with metadata on sampling and diagnostic methods. We found substantial heterogeneity in viral prevalence across studies, reflecting spatiotemporal variation in viral dynamics and methodological differences. Meta-analysis identified sample type and sampling design as the best predictors of prevalence, with virus detection maximized in rectal and faecal samples and by repeat sampling of the same site. Fewer than one in five studies collected and reported longitudinal data, and euthanasia did not improve virus detection. We show that bat sampling before the SARS-CoV-2 pandemic was concentrated in China, with research gaps in South Asia, the Americas and sub-Saharan Africa, and in subfamilies of phyllostomid bats. We propose that surveillance strategies should address these gaps to improve global health security and enable the origins of zoonotic coronaviruses to be identified.","https://www.nature.com/articles/s41564-023-01375-1"
"nmicrobiol","Particular genomic and virulence traits associated with preterm infant-derived toxigenic Clostridium perfringens strains","Clostridium perfringens is an anaerobic toxin-producing bacterium associated with intestinal diseases, particularly in neonatal humans and animals. Infant gut microbiome studies have recently indicated a link between C. perfringens and the preterm infant disease necrotizing enterocolitis (NEC), with specific NEC cases associated with overabundant C. perfringens termed C. perfringens-associated NEC (CPA-NEC). In the present study, we carried out whole-genome sequencing of 272 C. perfringens isolates from 70 infants across 5 hospitals in the United Kingdom. In this retrospective analysis, we performed in-depth genomic analyses (virulence profiling, strain tracking and plasmid analysis) and experimentally characterized pathogenic traits of 31 strains, including 4 from CPA-NEC patients. We found that the gene encoding toxin perfringolysin O, pfoA, was largely deficient in a human-derived hypovirulent lineage, as well as certain colonization factors, in contrast to typical pfoA-encoding virulent lineages. We determined that infant-associated pfoA+ strains caused significantly more cellular damage than pfoA− strains in vitro, and further confirmed this virulence trait in vivo using an oral-challenge C57BL/6 murine model. These findings suggest both the importance of pfoA+ C. perfringens as a gut pathogen in preterm infants and areas for further investigation, including potential intervention and therapeutic strategies.","https://www.nature.com/articles/s41564-023-01385-z"
